Voc (V),-HOMO (eV),-LUMO (eV),bandgap(eV),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),X,Y,Z,Tot,E(t-s)(eV),S1,S2,S3,S4,S5,DH,DL,DT1,DS1,DST,Eb,t_DL,t_DH
0.77,5.1,2.98,1.91,-4.83002,-2.16603,2.66399,-2.3,0.3389,0.6272,2.4079,1.82833,2.3713,2.7815,3.0171,3.3283,3.4735,1.1499800000000002,1.07397,-0.0736699999999999,0.31130000000000013,0.5429700000000002,0.2926899999999999,0.3416494730925215,0.31664310217776853
0.8,5.32,3.24,2.1,-4.90213,-2.06371,2.83842,0.4289,-0.3579,0.2221,0.6011,1.93808,2.5626,2.8928,3.1745,3.2371,3.4892,1.0778700000000008,1.1762900000000003,0.03608000000000011,0.5026000000000002,0.6245200000000002,0.27581999999999995,0.3084208600466002,0.3403196350172765
0.9,5.05,2.95,2.1,-4.68852,-2.01283,2.67569,2.4956,-1.1483,0.002,2.7471,1.88342,2.3725,2.5168,2.9893,3.0128,3.2067,1.2914800000000008,1.22717,-0.01857999999999982,0.3125,0.48907999999999996,0.30318999999999985,0.29312093725163485,0.2748636836586675
0.53,5.21,3.85,1.33,-4.61614,-2.63025,1.98589,0.1415,-0.2292,0.2405,0.3611,1.24478,1.7357,1.997,2.3498,2.6179,2.8027,1.3638600000000007,0.60975,-0.6572199999999999,-0.32430000000000003,0.49092,0.2501899999999999,0.5434867237728981,0.2556719759681448
0.79,5.55,2.6,1.8,-4.79029,-2.69855,2.09174,-2.0056,0.8085,-0.0468,2.1629,1.68514,1.7758,1.8867,2.0131,2.0872,2.6108,1.1897100000000007,0.5414500000000002,-0.21685999999999983,-0.2842,0.09065999999999996,0.3159400000000001,0.5819038797261581,0.30430950102702403
0.68,5.05,3.27,1.45,-4.65913,-2.66182,1.99732,2.8656,0.1972,0.0389,2.8727,1.24789,1.7433,2.0474,2.3484,2.6802,2.7728,1.3208700000000002,0.5781800000000001,-0.65411,-0.3167,0.49541000000000013,0.2540199999999999,0.560918309459046,0.26690299532118317
0.61,5.3,3.55,1.43,-4.54593,-2.64903,1.89691,-0.9433,0.1588,0.0278,0.957,1.17342,1.6737,1.9338,2.2957,2.5739,2.8231,1.4340700000000002,0.59097,-0.72858,-0.3863000000000001,0.5002800000000001,0.22321000000000013,0.5537898479672863,0.23833691430813886
0.85,5.34,3.52,1.51,-4.72063,-2.77665,1.94398,-2.7169,-0.1264,-0.0007,2.7198,1.2499,1.7127,1.9728,2.3132,2.58,2.8322,1.2593700000000005,0.46335000000000015,-0.6520999999999999,-0.34730000000000016,0.4627999999999999,0.23128000000000015,0.6291723836325865,0.28383278483942964
0.76,5.15,3.71,1.44,-4.6643,-2.74889,1.91541,4.6136,0.0868,-0.0,4.6144,1.20358,1.6854,1.9877,2.3208,2.6447,2.8413,1.3157000000000005,0.4911100000000004,-0.6984199999999998,-0.37460000000000004,0.4818199999999999,0.23001000000000005,0.6119467561557589,0.2682864569738331
0.53,5.4,3.53,1.8,-4.81968,-2.49991,2.31977,-0.3823,0.113,-0.0004,0.3987,1.52251,2.0922,2.5084,2.7929,2.9686,3.0803,1.1603200000000005,0.7400900000000004,-0.3794899999999999,0.032200000000000006,0.56969,0.22757000000000005,0.4770709772008907,0.31338588135350326
0.57,4.78,3.31,1.47,-4.64417,-2.65284,1.99133,-2.9137,0.3013,-0.0028,2.9292,1.24167,1.7396,2.0415,2.3501,2.6799,2.801,1.3358300000000005,0.5871600000000003,-0.6603299999999999,-0.3204,0.49793,0.25173,0.555903811831995,0.2629398447901604
0.9,5.51,3.36,1.77,-5.10513,-2.60005,2.50508,2.107,-0.1416,-0.057,2.1125,1.6929,2.2307,2.6255,2.8408,3.0206,3.1093,0.8748700000000005,0.6399500000000002,-0.20909999999999984,0.17070000000000007,0.5378000000000001,0.27437999999999985,0.5273187893233771,0.4169162152637031
