Voc (V),-HOMO (eV),-LUMO (eV),bandgap(eV),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),X,Y,Z,Tot,E(t-s)(eV),S1,S2,S3,S4,S5,DH,DL,DT1,DS1,DST,Eb,t_DL,t_DH
0.89,5.36,3.34,2.02,-5.09451,-2.49773,2.59678,-3.9005,0.9804,-1.9428,4.4665,1.70788,2.3189,2.6087,2.7683,2.9507,3.0172,0.8854900000000008,0.7422700000000004,-0.19411999999999985,0.25890000000000013,0.6110200000000001,0.2778799999999997,0.4760320952633365,0.41251199287238755
0.8,5.54,3.8,1.7,-5.40418,-2.87379,2.53039,0.1494,2.0382,1.3143,2.4298,1.82713,2.2196,2.2974,2.4256,2.4833,2.5376,0.5758200000000002,0.36621000000000015,-0.07486999999999999,0.15959999999999974,0.3924699999999999,0.31079000000000034,0.693357180912168,0.5622436399442118
0.85,5.6,3.91,1.69,-4.89424,-2.4844,2.40984,-3.4287,-7.6289,-0.0003,8.364,1.60337,2.1443,2.5558,2.7801,3.0049,3.0767,1.0857600000000005,0.7556000000000003,-0.29862999999999995,0.08429999999999982,0.5409299999999999,0.2655400000000001,0.46972869294669234,0.33764507809875155
0.88,5.57,3.88,1.69,-4.90784,-2.50154,2.4063,-3.3084,-7.3642,-0.001,8.0732,1.59696,2.1385,2.5459,2.7694,3.0046,3.065,1.0721600000000002,0.7384600000000003,-0.30504,0.07850000000000001,0.5415400000000001,0.2677999999999998,0.4778492370031538,0.34226841861554
0.62,5.25,2.75,2.18,-4.86839,-2.02344,2.84495,0.5062,-0.085,0.7484,0.9075,1.95959,2.5565,2.8898,3.2041,3.2528,3.4709,1.1116100000000007,1.2165600000000003,0.05759000000000003,0.49650000000000016,0.5969100000000003,0.28844999999999965,0.29624750752082596,0.32902879804361784
0.8,5.33,3.23,2.1,-5.1005,-2.10997,2.99053,0.4374,5.0947,2.416,5.6555,2.17928,2.5938,2.9499,3.0038,3.2403,3.3627,0.8795000000000002,1.13003,0.27727999999999997,0.5337999999999998,0.41452,0.39673000000000025,0.32302356556992373,0.4149903549939284
0.9,5.52,3.67,1.89,-4.89832,-2.55923,2.33909,-4.5807,1.1828,-1.825,5.0707,1.68207,1.9945,2.1521,2.3445,2.4241,2.6125,1.0816800000000004,0.6807700000000003,-0.21992999999999996,-0.06550000000000011,0.31243,0.3445900000000002,0.5062270474295348,0.33902548413080114
0.81,5.55,3.26,2.29,-5.14132,-2.06752,3.0738,3.927,0.1051,-0.3451,3.9436,2.22724,2.6815,3.0983,3.1973,3.4527,3.5221,0.8386800000000001,1.1724800000000002,0.3252400000000002,0.6215000000000002,0.4542600000000001,0.39229999999999965,0.3095981849030492,0.4322807575917554
0.85,5.55,3.82,1.68,-4.89941,-2.59379,2.30562,-0.4101,-0.3141,0.0001,0.5165,1.51381,2.0554,2.5044,2.727,2.9546,3.0685,1.0805900000000008,0.6462100000000004,-0.3881899999999998,-0.0045999999999999375,0.54159,0.25021999999999966,0.5240280843549925,0.339395223379787
0.885,5.52,3.79,1.73,-4.89723,-2.49474,2.40249,3.4847,-7.348,0.0014,8.1324,1.59635,2.1354,2.5474,2.7684,3.0001,3.0677,1.08277,0.74526,-0.30565,0.07540000000000013,0.5390500000000003,0.2670899999999996,0.47461088506655674,0.3386561476780328
0.94,5.41,3.44,1.97,-4.79709,-2.42372,2.37338,-4.864,-1.1602,0.0047,5.0005,1.69511,2.0569,2.2067,2.4395,2.5075,2.7248,1.1829100000000006,0.8162800000000003,-0.20689000000000002,-0.0030999999999998806,0.3617900000000003,0.3164799999999999,0.4420731114778012,0.30638585724426
0.8,5.43,3.25,1.67,-4.85641,-2.52522,2.3312,3.9303,-7.4847,0.0002,8.4539,1.53511,2.0978,2.5127,2.7632,2.9648,3.0586,1.12359,0.7147800000000002,-0.36688999999999994,0.037799999999999834,0.5626899999999999,0.23340000000000005,0.48929974590024394,0.3251105502098424
0.89,5.65,3.92,1.73,-4.90784,-2.50154,2.4063,-3.3083,-7.3641,-0.0012,8.0731,1.597,2.1385,2.546,2.7694,3.0046,3.065,1.0721600000000002,0.7384600000000003,-0.30499999999999994,0.07850000000000001,0.5415000000000001,0.2677999999999998,0.4778492370031538,0.34226841861554
