idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
11,Z3,1.92,2023,https://doi.org/10.1021/acs.energyfuels.3c00526,CCCCCCCCC(CCCCCC)CSC1=CC=C(C=C1)C1=CC=C(S1)C1=C2C=C(SC2=C(C2=CC=C(S2)C2=CC=C(SCC(CCCCCC)CCCCCCCC)C=C2)C2=C1SC(C)=C2)C1=C(CC(CCCC)CCCCCC)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(CC(CCCC)CCCCCC)=C(C)S1)C1=NSN=C21,CC1=CC2=C(S1)C(C1=CC=C(S1)C1=CC=C(S)C=C1)=C1C=C(SC1=C2C1=CC=C(S1)C1=CC=C(S)C=C1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
12,Z4,2.02,2023,https://doi.org/10.1021/acs.energyfuels.3c00526,CCCCCCCCCC(CCCCCC)CSC1=CC=C(C=C1)C1=C2C=C(SC2=C(C2=C1SC(C)=C2)C1=CC=C(SCC(CCCCCC)CCCCCCCC)C=C1)C1=C(CC(CCCC)CCCCCC)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(CC(CCCC)CCCCCC)=C(C)S1)C1=NSN=C21,CC1=CC2=C(S1)C(=C1C=C(SC1=C2C1=CC=C(S)C=C1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21)C1=CC=C(S)C=C1
13,PE55,1.96,2022,https://doi.org/10.1021/acsami.2c14280,CC1=CC(S2)=C(S1)C3=C2C(C4=CC(Cl)=C(CC(CCCCCC)CCCC)S4)=C(C(SC(C5=C(CC(CCCC)CCCCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCCCC)CCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C%11)=C%11S%12)C%12=C3C%13=CC(Cl)=C(CC(CCCCCC)CCCC)S%13,CC1=CC2=C(S1)C1=C(S2)C(C2=CC(Cl)=CS2)=C2C3=C(SC2=C1C1=CC(Cl)=CS1)C=C(S3)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
14,PE56,1.96,2022,https://doi.org/10.1021/acsami.2c14280,CC1=CC(S2)=C(S1)C3=C2C(C4=CC(Cl)=C(SCC(CCCCCC)CCCC)S4)=C(C(SC(C5=C(CC(CCCC)CCCCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCCCC)CCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C%11)=C%11S%12)C%12=C3C%13=CC(Cl)=C(SCC(CCCC)CCCCCC)S%13,CC1=CC2=C(S1)C1=C(S2)C(C2=CC(Cl)=C(S)S2)=C2C3=C(SC2=C1C1=CC(Cl)=C(S)S1)C=C(S3)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
15,JD40-S,1.9,2021,https://doi.org/10.1039/D1TA00838B,CC(S1)=C(CC(CCCCCC)CCCC)C=C1C2=CC(C3=NSN=C34)=C(S2)C5=C4C=C(S5)C6=CC(CC(CCCC)CCCCCC)=C(C7=CC8=C(C9=CC=C(SCC(CC)CCCC)S9)C(SC(C)=C%10)=C%10C(C%11=CC=C(SCC(CCCC)CC)S%11)=C8S7)S6,CC1=CC2=C(S1)C(C1=CC=C(S)S1)=C1C=C(SC1=C2C1=CC=C(S)S1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
16,JD40-F,1.92,2021,https://doi.org/10.1039/D1TA00838B,CC1=CC2=C(S1)C(C3=CC(F)=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C4)=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(F)=CS1)=C1C=C(SC1=C2C1=CC(F)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
17,JD40-S-F,1.93,2021,https://doi.org/10.1039/D1TA00838B,CC1=CC2=C(S1)C(C3=CC(F)=C(SCC(CC)CCCC)S3)=C4C(SC(C5=C(CC(CCCCCC)CCCC)C=C(C6=CC7=C(C(SC(C8=CC(CC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C4)=C2C%11=CC(F)=C(SCC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(F)=C(S)S1)=C1C=C(SC1=C2C1=CC(F)=C(S)S1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
18,D18-B,1.97,2021,https://doi.org/10.1088/1674-4926/42/10/100501,CC1=CC2=C(S1)C(C3=CC(F)=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CCC(CCCC)CCCCCC)C=C(C6=CC7=C(C(SC(C8=CC(CCC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C4)=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(F)=CS1)=C1C=C(SC1=C2C1=CC(F)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
19,D18-Cl-B,1.98,2021,https://doi.org/10.1088/1674-4926/42/10/100501,CC1=CC2=C(S1)C(C3=CC(Cl)=C(CC(CCCC)CC)S3)=C4C(SC(C5=C(CCC(CCCC)CCCCCC)C=C(C6=CC7=C(C(SC(C8=CC(CCC(CCCC)CCCCCC)=C(C)S8)=C9)=C9C%10=NSN=C%107)S6)S5)=C4)=C2C%11=CC(Cl)=C(CC(CCCC)CC)S%11,CC1=CC2=C(S1)C(C1=CC(Cl)=CS1)=C1C=C(SC1=C2C1=CC(Cl)=CS1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(S1)C1=CC(C)=C(C)S1)C1=NSN=C21
20,pDTfBT-4T,1.89,2016,https://doi.org/10.1021/acs.jpcc.5b11213,CCCCCCCCCCC(CCCCCCCC)CC1=C(SC(C)=C1)C1=CC=C(S1)C1=CC=C(S1)C1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S1)C1=CC2=C(S1)C1=C(C=C(C)S1)C1=NSN=C21,CC1=CC(C)=C(S1)C1=CC=C(S1)C1=CC=C(S1)C1=C(C)C=C(S1)C1=CC2=C(S1)C1=C(C=C(C)S1)C1=NSN=C21
