idx,Nickname,HOMO(eV),LUMO(eV),bandgap(eV),Ref.No,smiles_monomer,smiles_oligomer
728,PBQ-4,-5.05,-3.32,1.73,S41,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cc(F)cs4)c4sc(cc4c(-c4cc(F)cs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cc(F)cs5)c5sc(C)cc5c(-c5cc(F)cs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
729,PBDTDTQx-T,-5.12,-3.45,1.67,S246,CCCCC(CC)COc1cccc(-c2nc3c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)ccc(-c4ccc(C)s4)c3nc2-c2cccc(OC[C@H](CC)CCCC)c2)c1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
730,PBDT-DFQX-PT,-5.29,-3.54,1.75,S251,CCCCC(CC)COc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7ccc(C[C@@H](CC)CCCC)s7)c(-c7ccc(CC(CC)CCCC)s7)nc56)s4)sc3c(-c3ccc(OC[C@@H](CC)CCCC)cc3)c3cc(C)sc23)cc1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4ccccc4)c4sc(cc4c(-c4ccccc4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5ccccc5)c5sc(C)cc5c(-c5ccccc5)c4s3)c3nc(-c4cccs4)c(nc23)-c2cccs2)c2nc(-c3cccs3)c(nc12)-c1cccs1
731,PFQBDT-TR1,-5.89,-4.19,1.7,S252,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CCCCCCCC)s7)c7sc(C)cc7c(-c7ccc(CCCCCCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
732,PBDT-HBTA,-5.13,-3.25,1.88,S168,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nn(C)nc23)c2nn(C)nc12
733,PBQ-3,-5.1,-3.37,1.73,S419,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
734,PBDT-BT (P2),-5.47,-3.78,1.69,S217,CCCCCCc1cc(CCCCCC)c(-c2sc(-c3c4cc(-c5ccc(-c6ccc(-c7ccc(C)s7)c7nsnc67)s5)sc4c(-c4cc(CCCCCC)c(-c5sc(CCCCCC)cc5CCCCCC)s4)c4cc(C)sc34)cc2CCCCCC)s1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12
735,PIFTBT10,-5.45,-3.45,2,S142,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(C)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s2)cc1C3(CCCCCCCCCC)CCCCCCCCCC,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4cc5c(cc4C(C)(C)c3c2)-c2ccc(C)cc2C5(C)C)c2nsnc12
736,PIDSBT-OCH8,-5.28,-3.68,1.6,S318,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc4c(cc3-c3[se]c(C)cc32)C(c2ccc(OCCCCCCCC)cc2)(c2ccc(OCCCCCCCC)cc2)c2cc(-c3ccc(C)c5nsnc35)[se]c2-4)cc1,Cc1cc2c([se]1)-c1cc3c(cc1C2(c1ccccc1)c1ccccc1)-c1[se]c(cc1C3(c1ccccc1)c1ccccc1)-c1ccc(-c2cc3c([se]2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2[se]c(cc2C4(c2ccccc2)c2ccccc2)-c2ccc(C)c3nsnc23)c2nsnc12
737,PDTCTTBT,-5.08,-3.57,1.51,S329,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc(C)sc3-c3sc4c5c(sc4c32)-c2sc(-c3ccc(C)c4nsnc34)cc2C5(c2ccc(OCCCCCCCC)cc2)c2ccc(OCCCCCCCC)cc2)cc1,Cc1cc2c(s1)-c1sc3c4c(sc3c1C2(c1ccccc1)c1ccccc1)-c1sc(cc1C4(c1ccccc1)c1ccccc1)-c1ccc(-c2cc3c(s2)-c2sc4c5c(sc4c2C3(c2ccccc2)c2ccccc2)-c2sc(cc2C5(c2ccccc2)c2ccccc2)-c2ccc(C)c3nsnc23)c2nsnc12
