idx,Nickname,HOMO(eV),LUMO(eV),bandgap(eV),Ref.No,smiles_monomer,smiles_oligomer
1,P3HT,-5.2,-3.27,1.93,S10,CCCCCCc1cc(C)sc1C,Cc1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(C)s1
2,P3HST,-4.9,-3.08,1.82,S123,CCCCCCSc1cc(C)sc1C,CSc1cc(sc1C)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(C)cc1SC
3,POPT,-5.34,-3.58,1.76,S126,CCCCCCCCc1ccc(-c2cc(C)sc2C)cc1,Cc1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(C)s1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1
4,PT-C1,-5.15,-3.23,1.92,S122,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(C)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(C)s1
5,PT-C2,-5.11,-3.22,1.89,S122,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1
6,POPTT,-5.43,-3.5,1.93,S126,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(C)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1
7,C6-TT,-5.25,-3.35,1.9,S124,CCCCCCc1cc(C)sc1-c1ccc(-c2sc(C)cc2CCCCCC)s1,Cc1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(C)cc1C
8,PDHTT,-5.15,-3.19,1.96,S380,CCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
9,PDTPBT-C5,-4.81,-3.38,1.43,S359,CCCCCC(CCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
10,PCV,-5.61,-3.31,2.3,S16,C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(C)ccc2c2ccc(\C=C\c3ccc4c(c3)n(-c3ccc(OC)cc3)c3cc(\C=C\c5ccc6c(c5)n(-c5ccc(OC)cc5)c5cc(\C=C\C)ccc65)ccc43)cc12
11,POPQT,-5.49,-3.52,1.97,S126,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1
12,PDTPBT-C6,-4.86,-3.44,1.42,S359,CCCCCCC(CCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
13,O-PBDT,-5.31,-3.1,2.21,S119,CCCCC(CC)COc1c2cc(C)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1
14,S-PBDT,-5.41,-3.34,2.07,S119,CCCCC(CC)CSc1c2cc(C)sc2c(SCC(CC)CCCC)c2cc(C)sc12,CSc1c2cc(C)sc2c(SC)c2cc(sc12)-c1cc2c(SC)c3sc(cc3c(SC)c2s1)-c1cc2c(SC)c3sc(C)cc3c(SC)c2s1
15,P1-0,-5.56,-3.83,1.73,S405,CCCCCCCCC(CCCCCC)COc1c(F)c(-c2ccc(C)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(OC)c(F)c(-c3ccc(s3)-c3c(OC)c(F)c(-c4ccc(C)s4)c4nsnc34)c3nsnc23)c1F
16,FEH,-5.42,-3.51,1.91,S372,CCCCC(CC)Cc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CC(CC)CCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C
17,HEH,-5.27,-3.31,1.96,S372,CCCCC(CC)Cc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CC(CC)CCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
18,P3HDTTT,-5.3,-3.4,1.9,S121,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C
19,PDOTT,-5.14,-3.17,1.97,S380,CCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
20,PCVT,-5.52,-3.32,2.2,S16,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(\C=C\C)ccc2c2ccc(\C=C\c3ccc(\C=C\c4ccc5c(c4)n(-c4ccc(OC)cc4)c4cc(\C=C\c6ccc(C)s6)ccc54)s3)cc12
21,PT-C3,-5.1,-3.19,1.91,S122,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1
22,PBDT[2H]T,-5.32,-3.22,2.1,S130,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(C)s1
23,PBDT[2F]T,-5.05,-2.95,2.1,S130,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(c(F)c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(C)c(F)c1F
24,PGe1-C8,-5.21,-3.88,1.33,S311,CCCCCCCC[Ge]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
25,PSBTBT,-5.05,-3.6,1.45,S6,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
26,PCPDTBT,-5.3,-3.87,1.43,S3,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
27,PCPDTDFBT,-5.34,-3.83,1.51,S345,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3c(F)c(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
28,PCPDTFBT,-5.15,-3.71,1.44,S306,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3cc(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1cc(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2cc(F)c(C)c3nsnc23)c2nsnc12
29,PTTEHV,-5.4,-3.6,1.8,S153,C/C=C/c1cc(C[C@H](CC)CCCC)c(-c2nc3sc(-c4sc(C)cc4CC(CC)CCCC)nc3s2)s1,C\C=C\c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(\C=C\c2cc(C)c(s2)-c2nc3sc(nc3s2)-c2sc(C)cc2C)cc1C
30,PGeBTBT,-4.78,-3.31,1.47,S309,CCCCC(CC)C[Ge]1(C[C@@H](CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
31,PBTTPD,-5.51,-3.74,1.77,S301,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(-c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(s3)-c3ccc(s3)-c3sc(-c4ccc(s4)-c4ccc(C)s4)c4C(=O)N(C)C(=O)c34)c2C1=O
32,PDTPBT-C8,-4.89,-3.48,1.41,S359,CCCCCCCCC(CCCCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
33,pDSBT-BT,-5.2,-3.5,1.7,S375,CCCC[Si]1(CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc2[Si]1(CCCC)CCCC,Cc1cc2c(s1)-c1sc(cc1[Si](C)(C)[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si](C)(C)[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12
34,PBTCTO,-5.4,-3.55,1.85,S236,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C=C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C=CC(=O)c23)c2C=CC(=O)c12
35,PBTFDO,-5.45,-3.88,1.57,S236,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(F)(F)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(F)(F)C(=O)c23)c2C(=O)C(F)(F)C(=O)c12
36,PBDTT,-5.44,-3.31,2.13,S120,CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1
37,PBDT-3MT,-5.43,-3.36,2.07,S128,CCCCC(CC)COc1c2cc(-c3cc(C(=O)OC)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COC(=O)c1cc(sc1C)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(cc1C(=O)OC)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1
38,PDTBTFV,-5.2,-3.41,1.79,S381,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(/C(F)=C(/C)F)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)C(\F)=C(/F)c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)C(\F)=C(\C)F)c3nsnc23)c2nsnc2c1-c1ccc(C)s1
39,PDTBTV,-5.01,-3.32,1.69,S381,C/C=C/c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(C)s3)c3nsnc23)s1,COc1c(OC)c(-c2ccc(\C=C\c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(\C=C\C)s4)c4nsnc34)s2)c2nsnc2c1-c1ccc(C)s1
40,PTVTPD,-5.48,-3.71,1.77,S301,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(/C=C/c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(\C=C\c4ccc(s4)-c4sc(-c5ccc(\C=C\c6ccc(C)s6)s5)c5C(=O)N(C)C(=O)c45)s3)c2C1=O
41,PBTT-BT (P1),-5.09,-3.34,1.75,S396,CCCCCCCCC(CCCCCCCC)c1cc2c3cc(-c4ccc(C)c5nsnc45)sc3c3sc(C)cc3c2s1,Cc1cc2c3cc(sc3c3sc(C)cc3c2s1)-c1ccc(-c2cc3c4sc(C)cc4c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
42,PNB-3,-5.22,-3.59,1.63,S399,CCCCC(CC)COc1cc2c(cc1OCC(CC)CCCC)c1cc(-c3ccc(C)c4nsnc34)sc1c1sc(C)cc21,COc1cc2c3cc(C)sc3c3sc(cc3c2cc1OC)-c1ccc(-c2cc3c(s2)c2sc(cc2c2cc(OC)c(OC)cc32)-c2ccc(C)c3nsnc23)c2nsnc12
43,PITFBT,-5.5,-3.7,1.8,S143,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3c(F)cc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2-c3sc(cc3C(C)(C)c2c1)-c1c(F)cc(-c2ccc(s2)-c2ccc3-c4sc(cc4C(C)(C)c3c2)-c2c(F)cc(C)c3nsnc23)c2nsnc12
44,P2,-5.22,-3.26,1.96,S127,CCCCC(CC)COc1c2cc(-c3cc(/C=C/c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc(\C=C\c2cccs2)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C\c2cccs2)c(C)s1
45,PITBT,-5.48,-3.66,1.82,S143,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2-c3sc(cc3C(C)(C)c2c1)-c1ccc(-c2ccc(s2)-c2ccc3-c4sc(cc4C(C)(C)c3c2)-c2ccc(C)c3nsnc23)c2nsnc12
46,PBTPDO,-5.42,-3.67,1.75,S236,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(=C(C)C)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(=C(C)C)C(=O)c23)c2C(=O)C(=C(C)C)C(=O)c12
47,P3,-5.37,-3.47,1.9,S127,CCCCC(CC)COc1c2cc(-c3cc(/C=C(\C#N)c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc(\C=C(/C#N)c2cccs2)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C(/C#N)c2cccs2)c(C)s1
48,PTTIBT,-5.32,-3.64,1.68,S500,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2c(c1)n(C)c1cc(sc21)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(sc32)-c2ccc(C)c3nsnc23)c2nsnc12
49,PDTPDFBT,-5.26,-3.88,1.38,S345,Cc1cc2c(s1)-c1sc(-c3c(F)c(F)c(C)c4nsnc34)cc1OC2(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C,Cc1cc2c(s1)-c1sc(cc1OC2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2OC3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
50,P4TBT,-5.52,-3.64,1.88,S29,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(C)c5nsnc45)s3)sc2C)s1,Cc1sc(cc1-c1cccs1)-c1cc(-c2cccs2)c(s1)-c1ccc(-c2sc(cc2-c2cccs2)-c2cc(-c3cccs3)c(s2)-c2ccc(C)c3nsnc23)c2nsnc12
51,PEBT,-5.3,-3.53,1.77,S383,CCCCCCCCCCCCc1cc(C)sc1/C=C/c1sc(C)cc1CCCCCCCCCCCC,Cc1cc(C)c(\C=C\c2sc(cc2C)-c2cc(C)c(\C=C\c3sc(cc3C)-c3cc(C)c(\C=C\c4sc(C)cc4C)s3)s2)s1
52,PFTTz,-5.58,-3.41,2.17,S141,CCCCCCCCc1nc2c(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(C)ccc3-4)sc(C)c2s1,Cc1nc2c(sc(C)c2s1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1sc(-c2ccc3-c4ccc(C)cc4C(C)(C)c3c2)c2nc(C)sc12
53,P(PTQD-Th),-5.73,-3.89,1.84,S135,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(C)s2)cc1c1cc(C)sc13,CN1C(=O)c2nc3c4sc(C)cc4c4cc(sc4c3nc2C1=O)-c1ccc(s1)-c1cc2c3cc(sc3c3nc4C(=O)N(C)C(=O)c4nc3c2s1)-c1ccc(C)s1
54,PBDTS-FBT,-5.49,-3.76,1.73,S498,CCCCC(CC)CSc1ccc(-c2c3cc(-c4c(F)c(F)c(C)c5nsnc45)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(C)sc12)-c1c(F)c(F)c(-c2cc3c(-c4ccc(SC)s4)c4sc(cc4c(-c4ccc(SC)s4)c3s2)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
55,TQ1,-5.7,-4,1.7,S352,CCCCCCCCOc1cccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,COc1cccc(c1)-c1nc2c(C)ccc(-c3ccc(s3)-c3ccc(-c4ccc(s4)-c4ccc(-c5ccc(C)s5)c5nc(-c6cccc(OC)c6)c(nc45)-c4cccc(OC)c4)c4nc(-c5cccc(OC)c5)c(nc34)-c3cccc(OC)c3)c2nc1-c1cccc(OC)c1
56,P(T-QX),-5.57,-3.92,1.65,S241,CCCCCCCCOc1ccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,COc1ccc(cc1)-c1nc2c(C)ccc(-c3ccc(s3)-c3ccc(-c4ccc(s4)-c4ccc(-c5ccc(C)s5)c5nc(-c6ccc(OC)cc6)c(nc45)-c4ccc(OC)cc4)c4nc(-c5ccc(OC)cc5)c(nc34)-c3ccc(OC)cc3)c2nc1-c1ccc(OC)cc1
57,TQF2-1,-6.18,-4.38,1.8,S495,CCCCCCCCOc1cccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,COc1cccc(c1)-c1nc2c(C)c(F)c(F)c(-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(C)s5)c5nc(-c6cccc(OC)c6)c(nc45)-c4cccc(OC)c4)c4nc(-c5cccc(OC)c5)c(nc34)-c3cccc(OC)c3)c2nc1-c1cccc(OC)c1
58,P1,-4.94,-3.57,1.37,S416,CCCCCCC(CCCC)Cc1cc(-c2ccc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1ccc(-c2cc(OC)c(s2)-c2sc(cc2C)-c2ccc(C)c3nsnc23)c2nsnc12
59,PCz,-5.6,-3.6,2,S15,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21,Cc1ccc2c(c1)n(C)c1cc(ccc21)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1ccc2c(c1)n(C)c1cc(C)ccc21
60,P3,-5.2,-3.74,1.46,S416,CCCCCCC(CCCC)Cc1cc(-c2c(F)c(F)c(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(OC)c(s2)-c2sc(cc2C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12
61,P2,-5.13,-3.76,1.37,S416,CCCCCCC(CCCC)Cc1cc(-c2c(F)cc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1c(F)cc(-c2cc(OC)c(s2)-c2sc(cc2C)-c2c(F)cc(C)c3nsnc23)c2nsnc12
62,PCTTz,-5.46,-3.35,2.11,S141,CCCCCCCCc1nc2c(-c3ccc4c5ccc(C)cc5n(C(CCCCCC)CCCCCC)c4c3)sc(C)c2s1,Cc1nc2c(sc(C)c2s1)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1sc(-c2ccc3c(c2)n(C)c2cc(C)ccc32)c2nc(C)sc12
63,PDDTT,-5.17,-3.18,1.99,S380,CCCCCCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C
64,F12,-5.4,-3.45,1.95,S372,CCCCCCCCCCCCc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CCCCCCCCCCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C
65,PBDT-DTBTz,-5.26,-3.29,1.97,S213,CCCCCCCCC(CCCCCCCC)n1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5cc6sc(C)cc6cc5s4)s3)c2n1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3cc4sc(cc4cc3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4cc5sc(C)cc5cc4s3)c3nn(C)nc23)c2nn(C)nc12
66,P3,-5.51,-3.37,2.14,S367,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3sc(C)cc3/C=C/c3ccc(C=C(C#N)C#N)s3)cc21,Cc1cc(\C=C\c2ccc(C=C(C#N)C#N)s2)c(s1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1cc(\C=C\c2ccc(C=C(C#N)C#N)s2)c(s1)-c1ccc2-c3ccc(C)cc3C(C)(C)c2c1
67,PTTIMBI,-5.29,-3.75,1.54,S500,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4c3=NC(C)(C)N=4)cc21,Cc1ccc(s1)-c1ccc2c(c1)n(C)c1cc(sc21)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(sc32)-c2ccc(C)c3=NC(C)(C)N=c23)c2=NC(C)(C)N=c12
68,P1,-5.7,-4.13,1.57,S19,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nonc45)s3)cc21,Cc1ccc(s1)-c1nnc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2nnc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nonc23)c2nonc12
69,PGFDTBT,-5.38,-3.59,1.79,S25,CCCCCCCC[Ge]1(CCCCCCCC)c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc2-c2ccc(C)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)-c2ccc(cc2[Ge]3(C)C)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4c(c3)-c3ccc(C)cc3[Ge]4(C)C)c3nsnc23)c2nsnc12
70,PF-DTBT,-5.56,-3.71,1.85,S20,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5C(C)(C)c4c3)c3nsnc23)c2nsnc12
71,PSiF-DBT,-5.39,-3.57,1.82,S358,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4ccc(cc4[Si](C)(C)c3c2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5[Si](C)(C)c4c3)c3nsnc23)c2nsnc12
72,TPO(CO)(2EH/C1),-5.41,-3.62,1.79,S226,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(C(C)=O)C5=O)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4C(=O)N(C(C)=O)C(=O)c34)c2C1=O
73,H3,-5.07,-3.04,2.03,S37,C/C=C/c1cc2c(OCCCCCCCCCCCC)c3sc(C)cc3c(OCCCCCCCCCCCC)c2s1,COc1c2cc(C)sc2c(OC)c2cc(\C=C\c3cc4c(OC)c5sc(\C=C\c6cc7c(OC)c8sc(\C=C\C)cc8c(OC)c7s6)cc5c(OC)c4s3)sc12
