idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV)
728,-5.01859,-2.20848,2.81012
729,-4.90431,-2.23079,2.67352
730,-4.80145,-2.32929,2.47215
731,-4.19899,-3.44224,0.756748
732,-4.76771,-2.07568,2.69202
733,-4.87954,-2.32603,2.55352
734,-4.96499,-2.61012,2.35487
735,-4.90131,-2.52467,2.37664
736,-4.70049,-2.298,2.40249
737,-4.44199,-2.28222,2.15977
738,-4.9971,-2.7342,2.2629
739,-4.80145,-2.50644,2.29501
740,-4.74947,-2.61202,2.13745
741,-4.80417,-2.62454,2.17963
742,-4.73968,-2.45991,2.27977
743,-4.6809,-2.58018,2.10072
744,-4.3228,-3.12196,1.20084
745,-4.26049,-2.90754,1.35295
746,-4.99111,-2.75243,2.23868
747,-4.95927,-1.57527,3.38401
748,-4.68117,-1.90616,2.77502
749,-4.93125,-2.62399,2.30725
750,-4.78811,-2.86046,1.92765
751,-4.72798,-1.98861,2.73937
752,-4.78267,-2.53719,2.24548
753,-4.73505,-2.42154,2.31351
754,-4.90403,-2.25854,2.64549
755,-5.15955,-2.11541,3.04414
756,-4.81886,-2.31623,2.50263
757,-5.10404,-2.60631,2.49773
758,-4.84934,-2.49937,2.34997
759,-5.17098,-2.65637,2.5146
760,-4.93533,-2.42181,2.51352
761,-4.87601,-2.39324,2.48277
762,-4.84009,-2.4463,2.39379
763,-5.6314,-3.30292,2.32848
764,-4.04388,-3.49802,0.54586
765,-5.12363,-3.08849,2.03514
766,-4.87927,-1.85418,3.02509
767,-4.61614,-2.36059,2.25555
768,-4.73342,-2.58943,2.14398
769,-4.9424,-1.69636,3.24605
770,-5.20173,-2.20439,2.99733
771,-5.08009,-2.91135,2.16875
772,-5.01669,-2.59161,2.42508
773,-5.05315,-2.48712,2.56603
774,-4.80036,-2.54535,2.25501
775,-4.79709,-2.32467,2.47243
776,-4.64008,-2.35569,2.2844
777,-5.09996,-2.73338,2.36657
778,-4.84308,-2.54481,2.29827
779,-5.05016,-2.45746,2.5927
780,-4.81451,-2.54345,2.27106
781,-4.42049,-1.63813,2.78236
782,-4.89886,-2.82318,2.07568
783,-4.73097,-2.57474,2.15623
784,-4.87492,-1.95242,2.9225
785,-5.23846,-2.38127,2.85719
786,-4.74158,-2.17745,2.56413
787,-4.89261,-2.41583,2.47678
788,-5.04417,-2.48277,2.56141
789,-4.61532,-2.49229,2.12303
790,-4.77941,-2.57746,2.20194
791,-4.85369,-2.33936,2.51433
792,-3.68116,-2.99162,0.689536
793,-4.79356,-2.29909,2.49447
794,-4.68526,-1.68792,2.99733
795,-4.70621,-2.52331,2.1829
796,-5.52854,-3.29965,2.22888
797,-4.76553,-2.55107,2.21446
798,-4.66893,-2.5361,2.13283
799,-5.15384,-2.97284,2.18099
800,-4.79737,-2.11813,2.67923
801,-5.03166,-2.64059,2.39106
802,-5.02621,-2.73883,2.28739
803,-4.87437,-2.38589,2.48848
804,-4.87356,-2.45936,2.41419
805,-5.0556,-2.89393,2.16167
806,-4.90431,-2.57937,2.32494
807,-4.87165,-2.54209,2.32957
808,-4.78975,-2.55542,2.23433
809,-4.29613,-3.0923,1.20383
810,-4.59165,-3.34482,1.24683
811,-5.08064,-2.27025,2.81039
812,-4.82349,-2.52712,2.29637
813,-4.78131,-1.87731,2.904
814,-5.42758,-3.3168,2.11079
815,-4.87982,-2.88359,1.99623
816,-4.0847,-2.76522,1.31948
817,-4.54784,-2.31188,2.23596
818,-5.0273,-2.6708,2.35651
819,-4.7356,-2.32167,2.41392
820,-4.92363,-2.53229,2.39134
821,-5.42785,-3.30673,2.12113
822,-4.59328,-2.42889,2.16439
823,-5.02159,-2.44277,2.57882
824,-5.05179,-2.824,2.2278
825,-4.85723,-2.2365,2.62073
826,-4.03191,-2.78345,1.24846
827,-4.82812,-2.55787,2.27025
828,-5.45588,-2.63842,2.81747
829,-3.75408,-3.05148,0.702598
830,-5.13506,-2.65447,2.48059
831,-3.62428,-3.2621,0.362183
832,-4.60389,-1.5203,3.08359
833,-4.95873,-2.65093,2.3078
834,-4.83682,-2.23895,2.59787
835,-4.83492,-2.52386,2.31106
836,-4.92853,-1.96058,2.96795
837,-5.26186,-2.95162,2.31025
838,-5.66242,-2.77828,2.88413
839,-5.23329,-2.88794,2.34535
840,-5.24962,-3.06999,2.17963
841,-4.80852,-2.46236,2.34617
842,-5.12417,-2.86209,2.26208
843,-5.14921,-2.74427,2.40494
844,-4.82322,-2.40413,2.41909
845,-4.63655,-1.58153,3.05502
846,-5.07411,-2.30453,2.76957
847,-4.81914,-1.98942,2.82971
848,-5.05805,-2.74835,2.3097
849,-5.12853,-2.64658,2.48195
850,-4.78757,-2.13228,2.65529
851,-4.74458,-2.3712,2.37338
852,-3.94184,-2.62127,1.32057
853,-4.98132,-3.35734,1.62398
854,-5.03111,-2.14154,2.88958
855,-4.73424,-2.24576,2.48848
856,-5.30948,-2.70372,2.60576
857,-4.76281,-1.8452,2.9176
858,-4.44743,-3.23979,1.20764
859,-5.01261,-2.61202,2.40059
860,-5.00635,-2.70046,2.30589
861,-4.7209,-2.26616,2.45474
862,-5.10404,-2.67161,2.43243
863,-3.90048,-3.31217,0.58831
864,-4.7092,-2.37991,2.32929
865,-4.66893,-2.55977,2.10915
866,-4.81179,-2.32957,2.48222
867,-4.95329,-2.6376,2.31569
868,-4.78376,-2.39025,2.39351
869,-4.92989,-2.78155,2.14834
870,-4.90159,-2.29038,2.6112
871,-4.6673,-2.47814,2.18916
872,-4.86676,-2.24657,2.62018
873,-4.879,-2.72631,2.15269
874,-5.04744,-2.28004,2.7674
875,-4.64036,-2.60358,2.03677
876,-4.74811,-2.61501,2.1331
877,-4.66185,-2.62263,2.03922
878,-5.0039,-2.39433,2.60957
879,-5.15982,-2.89121,2.26861
880,-4.9922,-2.91652,2.07568
881,-5.08309,-2.7644,2.31868
882,-4.40008,-2.44821,1.95187
883,-4.85179,-2.62862,2.22317
884,-5.00907,-2.91434,2.09473
885,-4.89451,-2.74998,2.14453
886,-5.03492,-2.09256,2.94237
887,-4.85968,-2.04004,2.81964
888,-4.92417,-2.47787,2.4463
889,-4.77043,-2.27161,2.49882
890,-5.04254,-1.77173,3.27081
891,-4.99111,-2.46236,2.52875
892,-4.50893,-2.43297,2.07596
893,-4.83628,-2.07841,2.75787
894,-4.55056,-2.12766,2.4229
895,-4.9473,-1.95024,2.99706
896,-4.61097,-2.10344,2.50753
897,-4.65151,-2.42753,2.22399
898,-4.76771,-2.8376,1.9301
899,-4.86213,-2.63978,2.22235
900,-4.9288,-2.45147,2.47732
901,-5.02431,-2.5829,2.44141
902,-4.90131,-2.18535,2.71597
903,-4.31763,-2.75896,1.55867
904,-4.92308,-2.75189,2.1712
905,-5.15547,-2.9206,2.23487
906,-5.04336,-2.38998,2.65338
907,-4.84308,-2.5625,2.28059
908,-4.88363,-2.66835,2.21528
909,-5.05016,-2.31052,2.73964
910,-4.93859,-2.65583,2.28276
911,-4.96444,-2.71461,2.24984
912,-4.96254,-2.34997,2.61256
913,-4.81369,-2.56658,2.24712
914,-4.96635,-2.64114,2.32521
915,-4.9639,-2.76277,2.20113
916,-4.80771,-2.64359,2.16412
917,-4.79764,-2.57066,2.22698
918,-4.94648,-2.18834,2.75815
919,-4.88172,-2.02834,2.85339
920,-4.67274,-2.14725,2.52549
921,-4.79356,-2.1965,2.59705
922,-4.74594,-2.60576,2.14018
923,-4.24253,-2.64277,1.59976
924,-4.99683,-2.15596,2.84087
925,-4.58866,-2.5429,2.04575
926,-4.78757,-2.02589,2.76168
927,-4.92063,-2.68359,2.23705
928,-4.7756,-2.35297,2.42263
929,-4.80281,-2.39025,2.41256
930,-4.97587,-2.55977,2.4161
931,-4.59138,-1.93908,2.65229
932,-5.10377,-2.44195,2.66182
933,-4.9688,-2.47161,2.49719
934,-4.87383,-2.56304,2.31079
935,-5.07819,-2.40276,2.67542
936,-4.74376,-2.52141,2.22235
937,-5.05996,-2.87842,2.18154
938,-4.95546,-2.79434,2.16113
939,-4.55818,-1.47649,3.08169
940,-4.95955,-2.80277,2.15677
941,-4.69396,-1.80248,2.89148
942,-4.94893,-2.75733,2.1916
943,-5.02785,-2.70617,2.32167
944,-4.639,-2.91135,1.72765
945,-4.87111,-2.75706,2.11405
946,-4.99764,-2.99244,2.00521
947,-4.75573,-2.25528,2.50045
948,-4.01722,-3.4621,0.555112
949,-5.16635,-2.73229,2.43406
950,-4.57886,-2.1097,2.46916
951,-4.83573,-2.49283,2.3429
952,-4.7892,-2.66046,2.12875
953,-4.78539,-2.41855,2.36685
954,-4.99492,-2.0365,2.95842
955,-5.07737,-2.62944,2.44794
956,-5.10268,-2.8708,2.23188
957,-4.7541,-2.26263,2.49147
958,-4.8058,-2.36766,2.43814
959,-4.88199,-2.15677,2.72522
960,-4.93887,-2.31759,2.62127
961,-4.86485,-2.66127,2.20358
962,-4.60036,-2.51678,2.08358
963,-4.96662,-2.07187,2.89475
964,-4.69424,-1.91623,2.77801
965,-4.66621,-2.47923,2.18698
966,-4.9141,-2.06453,2.84958
967,-5.119,-2.45583,2.66318
968,-5.07438,-2.72712,2.34725
969,-4.83546,-2.80168,2.03378
970,-4.88118,-2.85529,2.02589
971,-4.96853,-2.88087,2.08766
972,-4.98839,-2.47025,2.51814
973,-5.12472,-2.7527,2.37202
974,-5.08009,-2.84713,2.23297
975,-5.06948,-2.92876,2.14072
976,-5.13669,-2.90726,2.22943
977,-4.9356,-2.62182,2.31378
978,-4.81886,-2.54535,2.27351
979,-4.80662,-1.96902,2.8376
980,-4.79954,-2.55814,2.2414
981,-4.82349,-2.82617,1.99732
982,-4.58974,-2.42508,2.16467
983,-4.71682,-2.33283,2.38399
984,-4.72961,-1.9731,2.75651
985,-5.08826,-3.04359,2.04466
986,-4.78675,-2.85175,1.935
987,-4.78512,-2.58426,2.20086
988,-5.04145,-2.46508,2.57637
989,-4.88499,-2.22072,2.66427
990,-4.67301,-2.16548,2.50753
991,-4.76825,-2.25882,2.50943
992,-4.78485,-2.57828,2.20657
993,-5.01832,-2.42208,2.59624
994,-4.85587,-2.60059,2.25528
995,-4.84607,-2.68658,2.1595
996,-4.92063,-3.08931,1.83133
997,-5.21588,-2.92849,2.28739
998,-5.16662,-2.13038,3.03625
999,-5.19574,-2.13256,3.06319
1000,-5.07465,-2.79107,2.28358
1001,-4.88689,-2.45365,2.43324
1002,-4.77968,-2.80386,1.97582
1003,-5.12853,-2.46889,2.65964
1004,-4.94023,-2.42726,2.51297
1005,-4.81451,-2.08085,2.73366
1006,-4.90403,-2.37011,2.53392
1007,-4.9171,-2.59841,2.31868
1008,-4.87301,-2.36195,2.51107
1009,-4.85805,-2.64059,2.21746
1010,-4.94431,-2.48385,2.46045
1011,-5.22758,-2.43868,2.78889
1012,-3.6349,-3.33475,0.300142
1013,-4.64281,-2.64603,1.99677
1014,-4.73913,-2.38998,2.34916
1015,-4.60661,-2.57338,2.03323
1016,-4.98703,-2.65746,2.32957
1017,-4.66485,-2.3663,2.29855
1018,-4.65478,-2.2746,2.38018
1019,-4.62675,-2.36821,2.25854
1020,-4.74158,-2.5029,2.23868
1021,-5.03166,-3.02563,2.00602
1022,-5.01288,-2.41419,2.59869
1023,-4.63818,-2.29174,2.34644
1024,-5.08363,-2.37991,2.70372
1025,-4.99438,-2.69012,2.30426
1026,-4.78866,-2.53256,2.2561
1027,-4.63247,-2.27814,2.35433
1028,-4.80961,-2.02915,2.78046
1029,-4.7922,-2.29528,2.49692
1030,-4.89397,-2.70862,2.18535
1031,-4.95492,-2.50916,2.44576
1032,-4.86213,-2.53801,2.32412
1033,-4.80934,-2.79869,2.01065
1034,-4.96363,-2.78699,2.17664
1035,-4.99193,-2.46807,2.52386
1036,-4.92172,-2.57311,2.34861
1037,-4.89696,-2.36521,2.53175
1038,-4.85097,-2.23623,2.61474
1039,-4.94648,-2.82753,2.11895
1040,-4.80716,-2.13555,2.67161
1041,-3.88116,-3.41067,0.470485
1042,-4.06538,-2.70046,1.36492
1043,-5.16717,-2.93556,2.23161
1044,-5.14594,-2.92822,2.21773
1045,-4.82621,-2.35487,2.47134
1046,-4.87982,-2.05364,2.82617
1047,-4.7258,-2.58263,2.14317
1048,-4.99764,-2.80223,2.19541
1049,-4.5824,-2.52249,2.0599
1050,-4.63328,-2.49175,2.14154
1051,-4.58022,-2.42862,2.1516
1052,-4.65478,-2.51896,2.13582
1053,-4.81397,-2.77719,2.03677
1054,-5.01914,-2.67297,2.34617
1055,-5.04472,-2.61229,2.43243
1056,-4.82077,-2.03732,2.78345
1057,-4.92825,-2.66508,2.26317
1058,-4.74104,-2.28957,2.45147
1059,-4.68825,-3.00795,1.6803
1060,-4.83138,-2.27433,2.55705
1061,-4.1198,-2.7527,1.3671
1062,-4.60226,-2.25854,2.34372
1063,-3.66673,-3.21856,0.448171
1064,-5.20799,-2.91461,2.29338
1065,-5.11329,-2.77257,2.34072
1066,-5.05288,-2.65828,2.3946
1067,-4.93778,-2.87026,2.06752
1068,-5.07955,-2.92033,2.15922
1069,-4.7473,-2.51705,2.23024
1070,-4.71927,-2.36875,2.35052
1071,-4.74049,-2.45147,2.28902
1072,-4.6956,-2.91461,1.78098
1073,-4.45831,-2.53066,1.92765
1074,-4.98975,-2.71542,2.27433
1075,-4.53396,-3.22673,1.30723
1076,-4.52035,-2.34698,2.17337
1077,-5.02077,-2.09119,2.92958
1078,-4.6907,-2.65393,2.03677
1079,-4.84825,-2.90073,1.94752
1080,-5.02785,-2.68821,2.33963
1081,-4.75655,-2.67052,2.08602
1082,-4.98649,-2.02344,2.96305
1083,-4.76308,-2.66046,2.10262
1084,-4.80798,-2.73964,2.06834
1085,-4.86676,-2.78862,2.07813
1086,-4.62321,-3.23788,1.38533
1087,-4.45205,-1.93146,2.52059
1088,-4.64226,-2.24412,2.39814
1089,-4.17912,-2.70182,1.47731
1090,-4.65451,-2.24848,2.40603
1091,-4.67328,-2.73366,1.93963
1092,-4.79437,-2.84522,1.94915
1093,-4.54675,-2.3331,2.21365
1094,-4.50267,-2.52984,1.97283
1095,-4.72199,-2.86155,1.86044
1096,-4.66104,-2.76168,1.89935
