idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV),HOMO-wB97XD(eV),LUMO-wB97XD(eV),HOMO-LUMO-wB97XD(eV),HOMO-camB3LYP(eV),LUMO-camB3LYP(eV),HOMO-LUMO-camB3LYP(eV),HOMO-PBE(eV),LUMO-PBE(eV),HOMO-LUMO-PBE(eV),S1-state-B3LYP(eV)
195,-5.26132,-2.69991,2.56141,-6.99877,-1.23485,5.76391,-6.42678,-1.74153,4.68526,-4.66403,-3.13067,1.53336,2.2591
196,-4.91274,-2.41691,2.49583,-6.64937,-0.949949,5.69942,-6.0831,-1.45771,4.62539,-4.38076,-2.8474,1.53336,2.2415
197,-4.77968,-2.59651,2.18317,-6.46107,-1.10342,5.35765,-5.89045,-1.61799,4.27246,-4.28715,-3.04033,1.24683,1.9144
198,-4.93097,-2.49039,2.44059,-6.64203,-1.05009,5.59194,-6.07358,-1.55078,4.5228,-4.37069,-2.90618,1.46452,2.1631
199,-5.31139,-2.85883,2.45256,-7.03741,-1.4071,5.63031,-6.4608,-1.90371,4.55709,-4.7473,-3.29829,1.44901,2.1435
200,-5.17805,-2.63542,2.54263,-6.91223,-1.19131,5.72092,-6.33699,-1.68847,4.64852,-4.6077,-3.06917,1.53853,2.2367
201,-5.16935,-2.62889,2.54045,-6.90053,-1.18669,5.71385,-6.3261,-1.6833,4.64281,-4.59872,-3.06074,1.53799,2.2333
202,-4.84744,-2.53202,2.31542,-6.56583,-1.11676,5.44908,-5.99494,-1.60846,4.38647,-4.27409,-2.94264,1.33145,2.0179
203,-5.17805,-2.63542,2.54263,-6.91223,-1.19131,5.72092,-6.33699,-1.68847,4.64852,-4.6077,-3.06917,1.53853,2.2367
204,-5.07057,-2.28657,2.784,-6.84067,-0.750218,6.09045,-6.26651,-1.27268,4.99383,-4.46947,-2.75842,1.71105,2.391
205,-5.09288,-2.83216,2.26072,-6.75795,-1.43186,5.32608,-6.18542,-1.90534,4.28008,-4.58893,-3.27135,1.31758,2.0166
206,-5.23166,-2.63243,2.59923,-6.96802,-1.15948,5.80854,-6.39767,-1.6686,4.72907,-4.63138,-3.06101,1.57037,2.2997
207,-5.08962,-2.7723,2.31732,-6.79278,-1.35649,5.43629,-6.22161,-1.84602,4.37559,-4.54838,-3.19489,1.35349,2.0257
208,-5.03111,-2.59978,2.43134,-6.75822,-1.17145,5.58677,-6.18732,-1.6637,4.52362,-4.46212,-3.03026,1.43186,2.1354
209,-5.16935,-2.62889,2.54045,-6.90053,-1.18669,5.71385,-6.3261,-1.6833,4.64281,-4.59872,-3.06074,1.53799,2.2333
210,-5.00689,-2.75406,2.25283,-6.73019,-1.30343,5.42677,-6.15222,-1.8052,4.34702,-4.47954,-3.21094,1.26859,1.9256
211,-5.3103,-3.03135,2.27895,-7.01591,-1.57772,5.43819,-6.44284,-2.07813,4.36471,-4.78403,-3.45911,1.32492,1.9976
212,-4.49886,-2.44658,2.05228,-6.1661,-0.998658,5.16744,-5.59874,-1.50506,4.09368,-4.02647,-2.90101,1.12546,1.7825
213,-5.19547,-2.56005,2.63542,-6.91169,-1.08846,5.82324,-6.34188,-1.59812,4.74376,-4.64172,-2.98944,1.65227,2.3154
214,-4.53831,-2.6229,1.91541,-6.19059,-1.20111,4.98948,-5.62459,-1.70343,3.92116,-4.08742,-3.07516,1.01226,1.643
215,-4.82294,-2.81284,2.0101,-6.52257,-1.37907,5.1435,-5.9495,-1.88167,4.06783,-4.33858,-3.24659,1.09199,1.7216
216,-4.7843,-2.42453,2.35977,-6.4793,-0.912125,5.56718,-5.90705,-1.42615,4.4809,-4.28008,-2.88794,1.39213,2.0611
217,-5.29588,-2.72495,2.57093,-7.02843,-1.28383,5.74459,-6.45372,-1.78098,4.67274,-4.72444,-3.15516,1.56928,2.2486
218,-4.87437,-2.51215,2.36222,-6.57427,-1.09499,5.47928,-6.00446,-1.58697,4.4175,-4.33151,-2.9274,1.40411,2.0886
219,-5.01315,-2.61202,2.40113,-6.72012,-1.15485,5.56527,-6.15277,-1.66207,4.49069,-4.47736,-3.03489,1.44248,2.0796
220,-4.57587,-2.76821,1.80765,-6.24093,-1.34479,4.89614,-5.6782,-1.84711,3.83109,-4.11953,-3.1772,0.94233,1.5444
221,-4.91274,-2.91407,1.99868,-6.61835,-1.50098,5.11737,-6.04555,-2.00439,4.04116,-4.40171,-3.30292,1.0988,1.7092
222,-4.5941,-2.33555,2.25854,-6.31386,-0.875118,5.43874,-5.73997,-1.38424,4.35573,-4.08062,-2.75107,1.32955,1.9969
223,-5.01234,-2.56903,2.44331,-6.7106,-1.09607,5.61452,-6.14161,-1.60792,4.53369,-4.46158,-3.0055,1.45608,2.1344
224,-4.7843,-2.42453,2.35977,-6.4793,-0.912125,5.56718,-5.90732,-1.42615,4.48117,-4.28008,-2.88794,1.39213,2.0611
225,-4.84063,-2.41093,2.4297,-6.54053,-0.958929,5.5816,-5.97453,-1.46098,4.51355,-4.29314,-2.84386,1.44928,2.1723
226,-4.4575,-2.7391,1.7184,-6.12093,-1.40275,4.71818,-5.54949,-1.89037,3.65911,-3.97613,-3.08006,0.896071,1.5593
227,-4.91356,-2.51243,2.40113,-6.6208,-1.08927,5.53153,-6.05018,-1.58261,4.46756,-4.36688,-2.93121,1.43567,2.1222
228,-4.85016,-2.41909,2.43106,-6.55032,-0.967092,5.58323,-5.98433,-1.4686,4.51573,-4.30185,-2.85202,1.44982,2.1713
229,-4.8692,-2.58073,2.28848,-6.57781,-1.18587,5.39193,-6.00991,-1.6754,4.3345,-4.316,-2.97638,1.33962,2.0094
230,-4.81995,-2.46154,2.35841,-6.51141,-1.04029,5.47112,-5.94106,-1.53064,4.41042,-4.29831,-2.89475,1.40356,2.0932
231,-4.51083,-2.22235,2.28848,-6.23331,-0.781239,5.45207,-5.66541,-1.28356,4.38185,-3.90374,-2.63978,1.26397,2.0035
232,-4.74947,-2.87951,1.86997,-6.43549,-1.51377,4.92172,-5.86051,-2.00548,3.85504,-4.23382,-3.24605,0.987773,1.6896
233,-4.72634,-2.37637,2.34997,-6.4325,-0.932806,5.49969,-5.86351,-1.43404,4.42947,-4.21613,-2.81583,1.4003,2.0585
234,-5.03274,-2.64685,2.38589,-6.74298,-1.23676,5.50622,-6.17236,-1.72738,4.44498,-4.48035,-3.05611,1.42424,2.1072
235,-5.18105,-2.85529,2.32576,-6.86951,-1.4656,5.40391,-6.29617,-1.94208,4.35409,-4.63872,-3.26264,1.37608,2.0703
236,-4.82349,-2.26263,2.56086,-6.56856,-0.736884,5.83167,-5.99004,-1.2441,4.74594,-4.31246,-2.80957,1.50288,2.1896
237,-4.96907,-2.52658,2.44249,-6.68475,-1.07757,5.60718,-6.11875,-1.58316,4.53559,-4.39681,-2.93801,1.4588,2.171
238,-4.77451,-2.46372,2.31079,-6.48937,-1.06016,5.42921,-5.9212,-1.55377,4.36743,-4.19817,-2.85202,1.34615,2.0232
239,-4.49015,-2.57665,1.9135,-6.16256,-1.16356,4.999,-5.59684,-1.66561,3.93123,-3.96742,-2.95107,1.01635,1.7315
240,-4.97451,-2.64876,2.32576,-6.67658,-1.24356,5.43302,-6.10515,-1.73309,4.37205,-4.43192,-3.05747,1.37445,2.0322
241,-4.85233,-2.5742,2.27814,-6.52474,-1.1837,5.34105,-5.95766,-1.66561,4.29205,-4.32307,-2.97965,1.34343,2.0307
242,-4.8975,-2.48358,2.41392,-6.5974,-0.997569,5.59983,-6.03331,-1.5086,4.52471,-4.37423,-2.91924,1.45499,2.1214
243,-5.06703,-2.53447,2.53256,-6.81699,-1.00764,5.80936,-6.24175,-1.52329,4.71845,-4.4692,-3.0191,1.45009,2.1836
244,-4.79546,-2.52685,2.26861,-6.4793,-1.00165,5.47765,-5.90487,-1.51105,4.39382,-4.30484,-3.0142,1.29064,1.9956
245,-4.90431,-2.38127,2.52304,-6.62624,-0.934167,5.69208,-6.05589,-1.43894,4.61695,-4.35573,-2.80985,1.54588,2.2375
246,-4.79573,-2.52603,2.2697,-6.47957,-1.00083,5.47874,-5.90541,-1.51023,4.39518,-4.30511,-3.01366,1.29145,1.9966
247,-4.76254,-2.57882,2.18371,-6.48039,-1.15159,5.3288,-5.8929,-1.65091,4.24198,-4.22974,-3.00849,1.22125,2.0475
248,-5.04145,-1.5837,3.45775,-6.82652,0.0152384,6.84176,-6.24719,-0.507764,5.73942,-4.48171,-2.15514,2.32657,3.0762
249,-4.7639,-2.46426,2.29963,-6.49672,-0.967909,5.52881,-5.92092,-1.49037,4.43056,-4.24525,-2.92359,1.32166,1.9659
250,-4.75546,-2.58372,2.17174,-6.47141,-1.10261,5.36881,-5.89535,-1.62071,4.27464,-4.23899,-3.03108,1.20791,1.8794
251,-5.23955,-2.76604,2.47351,-6.96611,-1.30669,5.65942,-6.39794,-1.81636,4.58158,-4.67029,-3.17774,1.49254,2.1625
252,-4.9307,-2.64631,2.2844,-6.66842,-1.16465,5.50377,-6.09317,-1.68384,4.40933,-4.39273,-3.08278,1.30996,1.9539
253,-5.01397,-2.30753,2.70644,-6.74761,-0.801919,5.94569,-6.17072,-1.31621,4.85451,-4.48117,-2.77066,1.71051,2.3599
254,-4.64145,-2.46209,2.17936,-6.35549,-1.0158,5.33969,-5.78732,-1.51812,4.26919,-4.14484,-2.8757,1.26914,1.8874
255,-5.24146,-2.70971,2.53175,-6.9536,-1.19267,5.76092,-6.37916,-1.6969,4.68226,-4.71083,-3.17312,1.53772,2.2545
256,-4.69015,-2.44413,2.24603,-6.41672,-0.986957,5.42976,-5.84691,-1.49146,4.35545,-4.18293,-2.86563,1.3173,1.9383
257,-4.6107,-2.51297,2.09773,-6.33345,-1.0022,5.33125,-5.76228,-1.52166,4.24062,-4.1081,-2.97774,1.13036,1.7615
258,-5.05751,-2.64331,2.41419,-6.79849,-1.09036,5.70813,-6.22243,-1.60057,4.62185,-4.47246,-3.16142,1.31104,2.0901
259,-4.95955,-2.61773,2.34181,-6.66815,-1.21091,5.45724,-6.09671,-1.70126,4.39545,-4.41532,-3.02944,1.38588,2.0525
260,-4.94567,-2.55787,2.3878,-6.69046,-1.09716,5.5933,-6.12719,-1.61255,4.51464,-4.38784,-2.95706,1.43077,2.1095
261,-4.96308,-2.45664,2.50644,-6.66543,-0.969269,5.69616,-6.10079,-1.48275,4.61804,-4.41831,-2.88087,1.53744,2.2356
262,-5.04635,-2.70318,2.34317,-6.77672,-1.1807,5.59602,-6.19712,-1.68112,4.516,-4.49804,-3.22292,1.27513,2.0278
263,-4.97125,-2.62862,2.34263,-6.72774,-1.16492,5.56282,-6.14188,-1.66724,4.47464,-4.38947,-3.08087,1.3086,2.1033
264,-4.87084,-2.32657,2.54426,-6.59277,-0.8792,5.71357,-6.0197,-1.38016,4.63954,-4.33124,-2.76196,1.56928,2.2577
265,-4.49804,-2.02534,2.4727,-6.208,-0.539602,5.6684,-5.63684,-1.04927,4.58757,-3.97422,-2.48794,1.48629,2.1774
266,-4.90403,-2.48522,2.41882,-6.63903,-1.00519,5.63384,-6.06133,-1.49962,4.56172,-4.34756,-2.9938,1.35377,2.0522
267,-4.81097,-2.45936,2.35161,-6.57509,-0.93852,5.63657,-5.99412,-1.44003,4.5541,-4.2164,-2.98427,1.23213,1.9298
268,-5.20227,-2.6991,2.50317,-6.93727,-1.26043,5.67684,-6.3612,-1.75595,4.60525,-4.6341,-3.13448,1.49962,2.1965
269,-4.8224,-2.42916,2.39324,-6.53264,-1.0022,5.53044,-5.96283,-1.49989,4.46294,-4.26157,-2.83379,1.42778,2.0994
270,-5.16336,-2.6561,2.50726,-6.88393,-1.22723,5.6567,-6.3125,-1.7203,4.59219,-4.59437,-3.07706,1.51731,2.2132
271,-4.91193,-2.39569,2.51624,-6.66243,-0.930085,5.73235,-6.0948,-1.43839,4.65641,-4.35545,-2.82672,1.52874,2.1708
272,-4.82349,-2.36195,2.46154,-6.57019,-0.857703,5.71249,-5.99467,-1.36166,4.63301,-4.23953,-2.89447,1.34506,2.0878
273,-5.31656,-2.86209,2.45447,-7.04367,-1.41254,5.63112,-6.46651,-1.90915,4.55736,-4.75111,-3.29992,1.45118,2.1425
274,-4.91982,-1.89718,3.02264,-6.65971,-0.436198,6.22351,-6.08229,-0.930085,5.1522,-4.37777,-2.38263,1.99514,2.6353
275,-4.71492,-2.69338,2.02153,-6.38733,-1.23975,5.14758,-5.8197,-1.74697,4.07273,-4.24253,-3.10672,1.1358,1.7455
276,-5.00934,-2.74808,2.26127,-6.73155,-1.29553,5.43602,-6.15358,-1.79758,4.356,-4.48335,-3.20632,1.27703,1.9339
277,-4.676,-2.44222,2.23378,-6.39495,-0.963283,5.43166,-5.8265,-1.47322,4.35328,-4.17395,-2.86862,1.30533,1.9161
278,-4.50022,-1.9897,2.51052,-6.21807,-0.497152,5.72092,-5.65072,-1.00056,4.65015,-3.99028,-2.46317,1.5271,2.2144
279,-5.17805,-2.63542,2.54263,-6.91223,-1.19131,5.72092,-6.33699,-1.68847,4.64852,-4.6077,-3.06917,1.53853,2.2368
280,-4.64498,-2.61365,2.03133,-6.37998,-1.14533,5.23465,-5.80691,-1.65472,4.15218,-4.02456,-3.05339,0.971174,1.6953
281,-5.07411,-2.86073,2.21337,-6.80067,-1.42343,5.37724,-6.2227,-1.92629,4.2964,-4.52607,-3.28822,1.23785,1.8806
282,-5.07764,-2.02698,3.05067,-6.83087,-0.525452,6.30542,-6.25617,-1.03458,5.22159,-4.53641,-2.52685,2.00956,2.6974
283,-4.64389,-2.66672,1.97718,-6.31739,-1.20111,5.11628,-5.74976,-1.70942,4.04035,-4.17477,-3.09802,1.07675,1.691
284,-4.86621,-2.5976,2.26861,-6.60311,-1.08655,5.51656,-6.03385,-1.60438,4.42947,-4.32226,-3.06808,1.25417,1.9296
285,-4.91138,-2.45501,2.45637,-6.61128,-1.00029,5.61099,-6.04528,-1.50561,4.53967,-4.37668,-2.87869,1.49799,2.1316
286,-4.77233,-2.69882,2.07351,-6.49427,-1.25363,5.24064,-5.92446,-1.76602,4.15844,-4.24171,-3.11516,1.12655,1.7604
287,-4.9824,-2.59733,2.38508,-6.68747,-1.15267,5.53479,-6.11657,-1.65309,4.46348,-4.46457,-3.02618,1.43839,2.0617
288,-4.6077,-2.66889,1.93881,-6.30651,-1.22914,5.07737,-5.73752,-1.7369,4.00062,-4.11436,-3.08359,1.03077,1.6469
289,-4.85995,-2.48739,2.37256,-6.55685,-1.01145,5.54541,-5.99249,-1.52112,4.47137,-4.33559,-2.90835,1.42724,2.0852
290,-4.88744,-2.47379,2.41365,-6.5925,-0.964643,5.62786,-6.02895,-1.47975,4.5492,-4.35164,-2.90209,1.44955,2.1226
291,-4.79274,-2.79869,1.99405,-6.49726,-1.37064,5.12662,-5.93018,-1.88276,4.04742,-4.27001,-3.17584,1.09417,1.709
292,-4.89179,-2.4493,2.44249,-6.62951,-0.97444,5.65507,-6.06378,-1.4852,4.57859,-4.34593,-2.87434,1.47159,2.0997
293,-5.23248,-2.63406,2.59841,-6.96829,-1.16138,5.80691,-6.39794,-1.67051,4.72743,-4.63219,-3.06264,1.56955,2.2986
294,-4.51627,-2.59841,1.91786,-6.17372,-1.17934,4.99438,-5.60636,-1.68112,3.92524,-4.05994,-3.04985,1.01009,1.6424
295,-4.81696,-2.78862,2.02834,-6.5223,-1.35077,5.17152,-5.95439,-1.86452,4.08987,-4.2945,-3.1723,1.1222,1.7357
296,-4.65287,-2.38861,2.26426,-6.34188,-0.967637,5.37425,-5.77589,-1.46152,4.31436,-4.15627,-2.81855,1.33771,1.9816
297,-4.81723,-2.78536,2.03187,-6.52719,-1.35785,5.16935,-5.94786,-1.86235,4.08552,-4.32171,-3.18836,1.13335,1.7389
298,-5.01669,-2.64495,2.37174,-6.72556,-1.23621,5.48935,-6.15358,-1.72602,4.42756,-4.46892,-3.05584,1.41309,2.0891
299,-4.90975,-2.33392,2.57583,-6.63686,-0.887907,5.74895,-6.07304,-1.39404,4.679,-4.33532,-2.76522,1.5701,2.2997
300,-4.54457,-2.4844,2.06017,-6.22923,-1.04328,5.18594,-5.6635,-1.54969,4.11382,-4.0281,-2.91026,1.11784,1.7714
301,-4.84771,-2.61039,2.23732,-6.574,-1.12982,5.44418,-5.99548,-1.64221,4.35328,-4.35028,-3.07516,1.27513,1.9169
302,-4.45777,-2.50753,1.95024,-6.12528,-1.08383,5.04145,-5.55928,-1.58751,3.97177,-3.93912,-2.89366,1.04546,1.7553
303,-4.76879,-2.85366,1.91514,-6.45427,-1.46452,4.98975,-5.8831,-1.96548,3.91762,-4.21695,-3.19815,1.01879,1.7269
304,-4.68934,-2.76332,1.92602,-6.36828,-1.36819,5.00009,-5.7982,-1.86861,3.9296,-4.16661,-3.1372,1.02941,1.7367
305,-5.01669,-2.34889,2.6678,-6.75903,-0.81743,5.9416,-6.18324,-1.31921,4.86403,-4.47246,-2.91053,1.56193,2.3349
306,-4.79573,-2.52603,2.2697,-6.47957,-1.00083,5.47874,-5.90541,-1.5105,4.39491,-4.30511,-3.01366,1.29145,1.9965
307,-4.77369,-2.46481,2.30889,-6.49182,-1.02859,5.46323,-5.91303,-1.51867,4.39437,-4.25913,-2.95951,1.29962,1.9911
308,-4.79573,-2.52603,2.2697,-6.47957,-1.00056,5.47901,-5.90541,-1.51023,4.39518,-4.30511,-3.01366,1.29145,1.9966
309,-5.30731,-2.84658,2.46073,-7.0306,-1.39349,5.63711,-6.45427,-1.89092,4.56335,-4.74458,-3.28632,1.45826,2.1485
310,-4.88009,-2.38861,2.49147,-6.59903,-0.960017,5.63901,-6.02514,-1.45445,4.5707,-4.34974,-2.82645,1.52329,2.1981
311,-5.09914,-2.84196,2.25718,-6.857,-1.34479,5.51221,-6.27712,-1.84956,4.42756,-4.53668,-3.2972,1.23948,1.9703
312,-4.8458,-2.51488,2.33093,-6.55522,-1.09825,5.45697,-5.98188,-1.59459,4.38729,-4.31219,-2.9176,1.39458,2.0591
313,-4.90186,-2.51732,2.38453,-6.60774,-1.0539,5.55384,-6.04038,-1.56003,4.48035,-4.37994,-2.93883,1.44111,2.0757
314,-5.23302,-2.63651,2.59651,-6.96965,-1.1641,5.80555,-6.3993,-1.6735,4.7258,-4.63219,-3.06509,1.5671,2.297
315,-4.72934,-2.10943,2.61991,-6.4578,-0.614433,5.84337,-5.8812,-1.12301,4.75818,-4.21858,-2.59461,1.62398,2.3059
316,-5.06349,-2.73148,2.33202,-6.77482,-1.332,5.44282,-6.20256,-1.82017,4.38239,-4.5111,-3.13693,1.37417,2.0401
317,-4.87982,-2.37256,2.50726,-6.59196,-0.901241,5.69072,-6.01834,-1.40792,4.61042,-4.33885,-2.81066,1.52819,2.2083
318,-4.79682,-2.56739,2.22943,-6.49536,-1.15839,5.33697,-5.92256,-1.65908,4.26348,-4.27382,-2.95189,1.32193,1.9612
319,-4.8741,-2.40821,2.4659,-6.58352,-0.948861,5.63466,-6.01045,-1.4539,4.55655,-4.33423,-2.83787,1.49635,2.1724
320,-4.80172,-2.53447,2.26725,-6.50298,-1.11295,5.39003,-5.92963,-1.61554,4.31409,-4.27736,-2.92686,1.3505,1.9928
321,-4.84716,-2.78971,2.05745,-6.55114,-1.37118,5.17996,-5.97426,-1.87378,4.10048,-4.28552,-3.17285,1.11267,1.856
322,-5.05343,-2.32957,2.72386,-6.78543,-0.897703,5.88773,-6.21535,-1.38941,4.82594,-4.50675,-2.79352,1.71323,2.4416
323,-4.55845,-2.37664,2.18181,-6.25345,-0.954031,5.29942,-5.68827,-1.45146,4.23681,-4.06973,-2.78318,1.28655,1.9057
324,-4.66811,-1.74452,2.92359,-6.41726,-0.201908,6.21535,-5.84201,-0.717564,5.12445,-4.14729,-2.26371,1.88357,2.5768
325,-4.63791,-2.76168,1.87622,-6.31685,-1.37771,4.93914,-5.74596,-1.87622,3.86973,-4.11899,-3.12387,0.99512,1.7072
326,-4.7073,-2.41528,2.29201,-6.41998,-0.963283,5.4567,-5.85616,-1.46642,4.38974,-4.19763,-2.83488,1.36275,1.9864
327,-4.76444,-2.72576,2.03868,-6.47413,-1.30968,5.16445,-5.8929,-1.80928,4.08361,-4.22647,-3.12768,1.0988,1.855
328,-4.56716,-2.74835,1.81881,-6.26297,-1.35322,4.90975,-5.68663,-1.85282,3.83381,-4.0828,-3.11461,0.968181,1.5596
329,-4.64145,-2.46209,2.17936,-6.35549,-1.0158,5.33969,-5.78732,-1.51812,4.26919,-4.14484,-2.8757,1.26914,1.8874
330,-4.68308,-2.59841,2.08466,-6.39984,-1.13199,5.26785,-5.81861,-1.64057,4.17804,-4.19463,-3.04577,1.14886,1.7816
331,-4.67927,-2.53855,2.14072,-6.39794,-1.0675,5.33044,-5.82487,-1.57853,4.24634,-4.15028,-2.98427,1.16601,1.8285
332,-4.63056,-2.57964,2.05092,-6.34297,-1.10152,5.24146,-5.77153,-1.61472,4.15681,-4.09178,-3.02101,1.07077,1.773
333,-4.72253,-2.62372,2.09881,-6.43985,-1.15975,5.2801,-5.86868,-1.6735,4.19518,-4.16606,-3.02863,1.13744,1.7998
334,-4.64145,-2.46209,2.17936,-6.35549,-1.0158,5.33969,-5.78732,-1.51812,4.26919,-4.14484,-2.8757,1.26914,1.8874
335,-4.97968,-2.67052,2.30916,-6.67794,-1.25934,5.4186,-6.10759,-1.75105,4.35654,-4.47736,-3.08305,1.39431,1.9979
336,-4.48498,-2.66318,1.8218,-6.17889,-1.2539,4.92499,-5.60146,-1.7516,3.84987,-4.02456,-3.06863,0.955936,1.5623
337,-4.69777,-2.05963,2.63814,-6.43114,-0.570895,5.86024,-5.85317,-1.07839,4.77478,-4.18184,-2.53991,1.64193,2.326
338,-4.89125,-2.62046,2.27079,-6.63468,-1.13335,5.50132,-6.06378,-1.63976,4.42403,-4.3413,-3.08822,1.25308,1.9086
339,-5.01206,-2.90481,2.10725,-6.77182,-1.42316,5.34867,-6.19603,-1.9467,4.24933,-4.38076,-3.30863,1.07213,1.8407
340,-4.90159,-2.2648,2.63678,-6.65726,-0.754572,5.90269,-6.08446,-1.26968,4.81478,-4.36362,-2.72658,1.63704,2.2965
341,-4.58947,-2.45719,2.13228,-6.28719,-1.02315,5.26404,-5.72473,-1.52547,4.19926,-4.10157,-2.86291,1.23866,1.8584
342,-4.26756,-2.78672,1.48084,-5.88582,-1.44139,4.44443,-5.32581,-1.93282,3.39299,-3.82483,-3.12441,0.700421,1.3772
343,-4.64145,-2.46209,2.17936,-6.35549,-1.0158,5.33969,-5.78704,-1.51812,4.26892,-4.14484,-2.8757,1.26914,1.8874
344,-5.14159,-2.64168,2.49991,-6.88747,-1.15648,5.73099,-6.31331,-1.66534,4.64798,-4.57614,-3.25639,1.31975,2.1781
345,-4.80009,-2.60821,2.19188,-6.50869,-1.17118,5.33751,-5.92827,-1.65636,4.27191,-4.28389,-3.08876,1.19512,1.8721
346,-4.7492,-3.01203,1.73717,-6.41835,-1.67649,4.74186,-5.85262,-2.17011,3.68252,-4.24253,-3.33475,0.907772,1.5527
347,-4.99193,-2.70808,2.28385,-6.7125,-1.25227,5.46024,-6.13753,-1.75731,4.38022,-4.41178,-3.13883,1.27295,1.9966
348,-4.78267,-2.5742,2.20848,-6.48665,-1.13036,5.35629,-5.90596,-1.61636,4.2896,-4.2711,-3.05774,1.21336,1.8896
349,-4.94131,-2.89393,2.04738,-6.62842,-1.46805,5.16037,-6.05807,-1.975,4.08307,-4.42974,-3.28142,1.14832,1.7526
350,-4.48226,-2.29855,2.18371,-6.18787,-0.85988,5.32799,-5.62622,-1.36574,4.26049,-3.96198,-2.69393,1.26805,1.8978
351,-4.42321,-2.3497,2.07351,-6.13263,-0.917024,5.21561,-5.56718,-1.42207,4.14511,-3.913,-2.73855,1.17444,1.8003
352,-4.70566,-2.36195,2.34372,-6.39549,-0.897431,5.49806,-5.83575,-1.41254,4.42321,-4.1345,-2.75325,1.38125,2.1004
353,-4.91574,-2.62018,2.29555,-6.61672,-1.19594,5.42078,-6.04718,-1.68602,4.36117,-4.38158,-3.05121,1.33036,2.023
354,-5.02513,-2.65066,2.37447,-6.7321,-1.21608,5.51602,-6.16147,-1.70942,4.45205,-4.48362,-3.08441,1.39921,2.0978
355,-4.45341,-2.67706,1.77636,-6.11848,-1.3222,4.79628,-5.55248,-1.81881,3.73367,-3.92987,-3.00577,0.924098,1.628
356,-4.86159,-2.67787,2.18371,-6.52719,-1.27893,5.24826,-5.96691,-1.76656,4.20035,-4.34266,-3.08251,1.26016,1.9514
357,-4.75464,-2.80685,1.94779,-6.45753,-1.3837,5.07383,-5.89018,-1.89364,3.99654,-4.24552,-3.18591,1.05961,1.6604
358,-5.03928,-2.60467,2.4346,-6.79114,-1.06505,5.72609,-6.21453,-1.57499,4.63954,-4.43273,-3.09584,1.3369,2.1028
359,-4.86458,-2.73121,2.13337,-6.55277,-1.28465,5.26812,-5.97644,-1.78724,4.18919,-4.37477,-3.17666,1.19812,1.8203
360,-4.79818,-2.71678,2.0814,-6.46297,-1.33989,5.12309,-5.90541,-1.82398,4.08143,-4.27137,-3.10672,1.16465,1.8414
361,-4.70594,-2.36168,2.34426,-6.39576,-0.896615,5.49915,-5.83602,-1.412,4.42403,-4.13477,-2.7527,1.38207,2.1009
362,-4.84771,-2.38127,2.46644,-6.59631,-0.818518,5.77779,-6.01589,-1.34479,4.67111,-4.32906,-2.88822,1.44084,2.1032
363,-4.74839,-2.48032,2.26807,-6.48338,-1.006,5.47738,-5.91739,-1.51268,4.40471,-4.21858,-2.90536,1.31322,2.0089
364,-4.59464,-2.87461,1.72003,-6.26025,-1.49717,4.76308,-5.69262,-1.99106,3.70156,-4.09422,-3.24686,0.847362,1.5438
365,-4.94839,-2.45365,2.49474,-6.62733,-1.08628,5.54105,-6.0597,-1.54914,4.51056,-4.45124,-2.91733,1.53391,2.2524
366,-4.82594,-2.5429,2.28303,-6.5008,-1.13172,5.36908,-5.9299,-1.61608,4.31382,-4.31817,-2.97829,1.33989,2.0288
367,-4.88825,-2.6727,2.21555,-6.59196,-1.18805,5.40391,-6.02487,-1.69799,4.32688,-4.3862,-3.13666,1.24955,1.9418
368,-4.47137,-2.76032,1.71105,-6.12991,-1.40384,4.72607,-5.56146,-1.89691,3.66456,-3.99545,-3.10944,0.886003,1.5457
369,-5.17887,-2.63787,2.541,-6.91115,-1.19404,5.71711,-6.33644,-1.69119,4.64525,-4.60988,-3.07108,1.5388,2.2358
370,-4.3892,-2.55814,1.83105,-6.07222,-1.1475,4.92472,-5.4967,-1.65037,3.84633,-3.89422,-2.96985,0.924371,1.568
371,-4.95165,-2.75896,2.19269,-6.65237,-1.28519,5.36717,-6.08855,-1.79894,4.2896,-4.43083,-3.18292,1.24791,1.9226
372,-4.54893,-2.7459,1.80303,-6.2276,-1.37254,4.85505,-5.65534,-1.86697,3.78837,-4.04878,-3.10427,0.944507,1.5999
373,-5.12798,-2.77855,2.34943,-6.85944,-1.29853,5.56092,-6.27957,-1.81037,4.4692,-4.60961,-3.24251,1.3671,2.0192
374,-4.86403,-2.4297,2.43433,-6.57998,-0.992671,5.58731,-6.01181,-1.49336,4.51845,-4.29015,-2.83434,1.45581,2.1541
375,-4.85451,-2.65501,2.1995,-6.56529,-1.1641,5.40119,-5.99657,-1.67622,4.32035,-4.34539,-3.12441,1.22097,1.9311
376,-4.66512,-2.76604,1.89908,-6.34488,-1.38288,4.962,-5.77344,-1.87786,3.89558,-4.16334,-3.14727,1.01607,1.6813
377,-4.71274,-2.73175,1.98099,-6.40148,-1.34533,5.05615,-5.82704,-1.84194,3.98511,-4.19001,-3.11407,1.07594,1.7654
378,-4.68444,-2.39896,2.28548,-6.39141,-0.940153,5.45126,-5.8167,-1.44492,4.37178,-4.16742,-2.82046,1.34696,1.9896
