idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV),HOMO-wB97XD(eV),LUMO-wB97XD(eV),HOMO-LUMO-wB97XD(eV),HOMO-camB3LYP(eV),LUMO-camB3LYP(eV),HOMO-LUMO-camB3LYP(eV),HOMO-PBE(eV),LUMO-PBE(eV),HOMO-LUMO-PBE(eV),S1-state-B3LYP(eV)
60,-4.59709,-2.68114,1.91595,-6.26787,-1.26642,5.00145,-5.70296,-1.77663,3.92633,-4.06674,-3.04087,1.02587,1.661
61,-4.49151,-2.62018,1.87133,-6.15875,-1.20111,4.95764,-5.59384,-1.70915,3.8847,-3.9813,-3.0055,0.9758,1.6285
62,-4.72471,-1.76384,2.96087,-6.45753,-0.244902,6.21263,-5.87983,-0.753483,5.12635,-4.19246,-2.27814,1.91432,2.6468
63,-4.81043,-1.75513,3.05529,-6.60747,-0.183677,6.42379,-6.03739,-0.711033,5.32636,-4.22783,-2.25854,1.96929,2.7003
64,-4.92526,-1.91242,3.01284,-6.72339,-0.363272,6.36012,-6.15413,-0.890084,5.26404,-4.29559,-2.36712,1.92847,2.668
65,-4.75274,-2.39297,2.35977,-6.46107,-0.949405,5.51167,-5.88909,-1.44792,4.44117,-4.25504,-2.8406,1.41445,2.0722
66,-5.46731,-2.99679,2.47052,-7.17129,-1.50697,5.66432,-6.59876,-2.00602,4.59274,-4.95029,-3.45448,1.49581,2.2359
67,-4.63872,-2.74617,1.89255,-6.33481,-1.26206,5.07275,-5.76528,-1.77473,3.99055,-4.14974,-3.20169,0.948044,1.6255
68,-5.20907,-3.19217,2.01691,-6.94788,-1.71649,5.23139,-6.36828,-2.22725,4.14103,-4.69206,-3.60469,1.08737,1.7423
69,-4.96989,-2.61855,2.35134,-6.71767,-1.12329,5.59439,-6.13453,-1.6403,4.49423,-4.45559,-3.0904,1.36519,2.0218
70,-4.89424,-2.63842,2.25582,-6.62461,-1.15403,5.47058,-6.04582,-1.66697,4.37886,-4.39246,-3.10482,1.28764,1.9339
71,-4.90131,-2.6376,2.26371,-6.63658,-1.15267,5.48391,-6.05453,-1.66398,4.39056,-4.39954,-3.10563,1.2939,1.9413
72,-5.35792,-2.90128,2.45664,-7.08748,-1.45254,5.63493,-6.51059,-1.94942,4.56117,-4.78866,-3.33475,1.4539,2.1481
73,-4.81995,-2.27868,2.54127,-6.54515,-0.822056,5.7231,-5.9797,-1.31703,4.66267,-4.27953,-2.74318,1.53635,2.3039
74,-5.18731,-2.91352,2.27378,-6.91441,-1.45091,5.4635,-6.34216,-1.95487,4.38729,-4.61641,-3.33911,1.2773,1.9903
75,-5.02404,-2.94835,2.07568,-6.7574,-1.45935,5.29806,-6.17862,-1.97228,4.20634,-4.51355,-3.3772,1.13635,1.8272
76,-4.92635,-2.8776,2.04874,-6.65454,-1.40873,5.24581,-6.07521,-1.92303,4.15218,-4.42756,-3.32088,1.10669,1.75
77,-5.402,-3.08604,2.31596,-7.10979,-1.60248,5.50731,-6.53372,-2.1029,4.43083,-4.88281,-3.53585,1.34696,2.0441
78,-4.72743,-2.02044,2.70699,-6.47195,-0.495247,5.97671,-5.90324,-1.006,4.89723,-4.19817,-2.52032,1.67785,2.4274
79,-4.74458,-2.68195,2.06262,-6.4725,-1.21118,5.26132,-5.89426,-1.72792,4.16633,-4.24334,-3.13067,1.11267,1.7477
80,-4.86077,-2.59841,2.26235,-6.59604,-1.1192,5.47683,-6.01616,-1.63159,4.38457,-4.35273,-3.06128,1.29145,1.939
81,-4.9854,-2.68141,2.30399,-6.72067,-1.20138,5.51928,-6.14161,-1.70887,4.43273,-4.46675,-3.12495,1.34179,2.0141
82,-4.96853,-2.81502,2.15351,-6.70216,-1.28111,5.42105,-6.1231,-1.79323,4.32987,-4.46811,-3.34673,1.12138,1.8187
83,-4.87546,-2.7078,2.16766,-6.55903,-1.18696,5.37207,-5.98487,-1.69772,4.28715,-4.38076,-3.17584,1.20492,1.9175
84,-4.90131,-2.06262,2.83869,-6.65155,-0.568718,6.08283,-6.08365,-1.08084,5.00281,-4.33722,-2.53637,1.80085,2.5632
85,-5.09451,-2.69801,2.39651,-6.83305,-1.13988,5.69316,-6.25671,-1.65037,4.60634,-4.5141,-3.224,1.29009,2.0726
86,-5.09451,-2.49773,2.59678,-6.83278,-0.99376,5.83902,-6.25998,-1.50098,4.759,-4.55872,-2.97366,1.58506,2.3189
87,-5.40418,-2.87379,2.53039,-7.1351,-1.34587,5.78922,-6.56529,-1.85473,4.71056,-4.85587,-3.3489,1.50697,2.2196
88,-4.89424,-2.4844,2.40984,-6.60257,-1.00709,5.59548,-6.03249,-1.52003,4.51246,-4.36661,-2.90264,1.46397,2.1443
89,-4.90784,-2.50154,2.4063,-6.61862,-1.0207,5.59793,-6.0461,-1.53254,4.51355,-4.37913,-2.92087,1.45826,2.1385
90,-4.86839,-2.02344,2.84495,-6.61862,-0.538241,6.08038,-6.05236,-1.0509,5.00145,-4.28062,-2.47379,1.80684,2.5565
91,-5.1005,-2.10997,2.99053,-6.90325,-0.557289,6.34597,-6.33127,-1.07893,5.25234,-4.5062,-2.59406,1.91214,2.5938
