idx,Name,bandgap(eV),Year,Reference,smiles_monomer,smiles_oligomer
11,PY2Se-F,1.416,2021,https://doi.org/10.1016/j.nanoen.2021.106718,CC1=C(F)C(C2=O)=C(C=C1)C(/C2=C/C([Se]3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=C8SC9=C7[Se]C(/C=C%10C(C(C(F)=C(C%11=CC=C(C)S%11)C=C%12)=C%12C\%10=C(C#N)/C#N)=O)=C9CCCCCCCCCCC)=C8C%13=NSN=C%136)=C(C#N)\C#N,CN1C2=C(SC3=C2[Se]C(\C=C2/C(=O)C4=C(C=CC(C)=C4F)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C([Se]1)\C=C1/C(=O)C3=C(C=CC(C4=CC=C(C)S4)=C3F)C1=C(C#N)C#N)C1=NSN=C21
12,PY2Se-Cl,1.417,2021,https://doi.org/10.1016/j.nanoen.2021.106718,CC1=C(Cl)C(C2=O)=C(C=C1)C(/C2=C/C([Se]3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=C8SC9=C7[Se]C(/C=C%10C(C(C(Cl)=C(C%11=CC=C(C)S%11)C=C%12)=C%12C\%10=C(C#N)/C#N)=O)=C9CCCCCCCCCCC)=C8C%13=NSN=C%136)=C(C#N)\C#N,CN1C2=C(SC3=C2[Se]C(\C=C2/C(=O)C4=C(C=CC(C)=C4Cl)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C([Se]1)\C=C1/C(=O)C3=C(C=CC(C4=CC=C(C)S4)=C3Cl)C1=C(C#N)C#N)C1=NSN=C21
13,PY-O,1.45,2022,https://doi.org/10.1093/nsr/nwab151,O=C(C(C=CC(C1=CC=C(C)O1)=C2)=C2C/3=C(C#N)/C#N)C3=C/C4=C(CCCCCCCCCCC)C(S5)=C(S4)C6=C5C7=C(N6CC(CCCCCCCCCC)CCCCCCCC)C8=C(C(SC9=C%10SC(/C=C%11/C(C(C=C(C)C=C%12)=C%12C%11=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C%10N8CC(CCCCCCCC)CCCCCCCCCC)C%13=NSN=C7%13,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC=C(C)O3)C1=C(C#N)C#N)C1=NSN=C21
14,PAL-2,1.396,2022,https://doi.org/10.1016/j.dyepig.2022.110180,O=C(C(C=CC(C1=C(F)C(F)=C(C)S1)=C2)=C2C/3=C(C#N)/C#N)C3=C/C4=C(CCCCCCCCCCC)C(S5)=C(S4)C6=C5C7=C(N6CC(CCCCCCCCCC)CCCCCCCC)C8=C(C(SC9=C%10SC(/C=C%11/C(C(C=C(C)C=C%12)=C%12C%11=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C%10N8CC(CCCCCCCCCC)CCCCCCCC)C%13=NSN=C7%13,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=C(F)C(F)=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
15,PY2T,1.37,2021,https://doi.org/10.1016/j.cej.2021.131232,O=C(C(C=CC(C1=CC=C(C2=CC=C(C)S2)S1)=C3)=C3C/4=C(C#N)/C#N)C4=C/C5=C(CCCCCCCCCCC)C(S6)=C(S5)C7=C6C8=C(N7CC(CCCCCCCCCC)CCCCCCCC)C9=C(C(SC%10=C%11SC(/C=C%12/C(C(C=C(C)C=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C%11N9CC(CCCCCCCCCC)CCCCCCCC)C%14=NSN=C8%14,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC=C(S3)C3=CC=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
16,PY2T2CL,1.385,2021,https://doi.org/10.1016/j.cej.2021.131232,O=C(C(C=CC(C1=CC(Cl)=C(C2=C(Cl)C=C(C)S2)S1)=C3)=C3C/4=C(C#N)/C#N)C4=C/C5=C(CCCCCCCCCCC)C(S6)=C(S5)C7=C6C8=C(N7CC(CCCCCCCCCC)CCCCCCCC)C9=C(C(SC%10=C%11SC(/C=C%12/C(C(C=C(C)C=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C%11N9CC(CCCCCCCCCC)CCCCCCCC)C%14=NSN=C8%14,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC(Cl)=C(S3)C3=C(Cl)C=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
17,PBTIC-y-2F2T,1.406,2021,https://doi.org/10.1002/adfm.202100877,O=C(C(C=C(C1=CC(F)=C(C2=C(F)C=C(C)S2)S1)C=C3)=C3C/4=C(C#N)/C#N)C4=C/C5=C(CCCCCCCCCCC)C(S6)=C(S5)C7=C6C8=C(N7CC(CCCCCCCC)CCCCCCCCCC)C9=C(C(SC%10=C%11SC(/C=C%12/C(C(C=CC(C)=C%13)=C%13C%12=O)=C(C#N)\C#N)=C%10CCCCCCCCCCC)=C%11N9CC(CCCCCCCC)CCCCCCCCCC)C%14=NSN=C8%14,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC(F)=C(S3)C3=C(F)C=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
18,PBDT2BOY5-H,1.45,2020,https://doi.org/10.1002/aenm.202003367,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=CC4=C(C5=CC=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC=C(CC(CC)CCCC)S5)=C4S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC4=C(C5=CC=CS5)C5=C(C=C(C)S5)C(C5=CC=CS5)=C4S3)C1=C(C#N)C#N)C1=NSN=C21
19,PBDT2BOY5-F,1.45,2020,https://doi.org/10.1002/aenm.202003367,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=CC4=C(C5=CC(F)=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC(F)=C(CC(CC)CCCC)S5)=C4S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC4=C(C5=CC(F)=CS5)C5=C(C=C(C)S5)C(C5=CC(F)=CS5)=C4S3)C1=C(C#N)C#N)C1=NSN=C21
20,PBDT2BOY5-Cl,1.44,2020,https://doi.org/10.1002/aenm.202003367,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=CC4=C(C5=CC(Cl)=C(CC(CC)CCCC)S5)C5=C(C=C(C)S5)C(C5=CC(Cl)=C(CC(CC)CCCC)S5)=C4S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC4=C(C5=CC(Cl)=CS5)C5=C(C=C(C)S5)C(C5=CC(Cl)=CS5)=C4S3)C1=C(C#N)C#N)C1=NSN=C21
21,PF5-Y5,1.409,2020,https://doi.org/10.1039/D0EE01828G,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=CC4=C(S3)C(C3=CC(CCCCCC)=C(CC(CC)CCCC)S3)=C3C=C(C)SC3=C4C3=CC(CCCCCC)=C(CC(CC)CCCC)S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC4=C(S3)C(C3=CC=CS3)=C3C=C(C)SC3=C4C3=CC=CS3)C1=C(C#N)C#N)C1=NSN=C21
22,L15,1.381,2021,https://doi.org/10.1002/adma.202102635,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=CC(=C3)C3=CC4=C(S3)C3=C(C=C(C)S3)C(=O)N(CC(CCCCCC)CCCCCCCC)C4=O)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1\C(=O)C2=C(C=CC(C)=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2\C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=CC(=C3)C3=CC4=C(S3)C3=C(C=C(C)S3)C(=O)N(C)C4=O)C1=C(C#N)C#N)C1=NSN=C21
23,PBN25-CC,1.44,2021,https://doi.org/10.1039/D1TA06041D,O=C1C2=C(C=C(C)C=C2)C(/C1=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C6=C5C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=C8SC9=C7SC(/C=C%10C(C(C=CC(C%11=CC(C(C%12=CC=CC=C%12)(C%13=CC=CC=C%13)C%14=C%15SC(C)=C%14)=C%15S%11)=C%16)=C%16C\%10=C(C#N)\C#N)=O)=C9CCCCCCCCCCC)=C8C%17=NSN=C%176)=C(C#N)\C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC4=C(S3)C3=C(C=C(C)S3)C4(C3=CC=CC=C3)C3=CC=CC=C3)C1=C(C#N)C#N)C1=NSN=C21
24,PFY-DTC,1.401,2021,https://doi.org/10.1007/s11426-021-1020-7,O=C1C2=C(C=C(C3=CC4=C(C(SC(C)=C5)=C5C4(CC(CC)CCCC)CC(CCCC)CC)S3)C=C2)C(/C1=C/C(S6)=C(CCCCCCCCCCC)C7=C6C(N8CC(CCCC)CCCCCC)=C(S7)C9=C8C(N(CC(CCCC)CCCCCC)C%10=C%11SC%12=C%10SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12CCCCCCCCCCC)=C%11C%15=NSN=C%159)=C(C#N)\C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC4=C(S3)C3=C(C=C(C)S3)C4(C)C)C1=C(C#N)C#N)C1=NSN=C21
25,PY5-TTZCT,1.333,2022,https://doi.org/10.1021/acs.macromol.2c00515,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=C(CC(CC)CCCC)C=C(S3)C3=NC4=C(S3)N=C(S4)C3=CC(CC(CC)CCCC)=C(C)S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=C(C)C=C(S3)C3=NC4=C(S3)N=C(S4)C3=CC(C)=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
26,PY5-TTZFT,1.44,2022,https://doi.org/10.1021/acs.macromol.2c00515,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=CC(CC(CC)CCCC)=C(S3)C3=NC4=C(S3)N=C(S4)C3=C(CC(CC)CCCC)C=C(C)S3)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=CC(C)=C(S3)C3=NC4=C(S3)N=C(S4)C3=C(C)C=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
27,PY5-BTZ,1.442,2021,https://doi.org/10.1021/acs.chemmater.1c02302,CCCCCCCCCCCC1=C(SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(\C=C2/C(=O)C3=C(C=C(C=C3)C3=CC=C(S3)C3=C(F)C(F)=C(C4=CC=C(C)S4)C4=NN(CC(CCCCCC)CCCCCCCC)N=C34)C2=C(C#N)C#N)=C1CCCCCCCCCCC)\C=C1/C(=O)C2=C(C=C(C)C=C2)C1=C(C#N)C#N,CN1N=C2C(=N1)C(C1=CC=C(S1)C1=CC3=C(C=C1)C(=O)\C(=C/C1=C(C)C4=C(S1)C1=C(S4)C4=C(N1C)C1=C(C5=C(N1C)C1=C(S5)C(C)=C(S1)\C=C1/C(=O)C5=C(C=C(C)C=C5)C1=C(C#N)C#N)C1=NSN=C41)C3=C(C#N)C#N)=C(F)C(F)=C2C1=CC=C(C)S1
28,PY5-PZ,1.449,2021,https://doi.org/10.1021/acs.chemmater.1c02302,O=C1C2=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=NC=C(C5=CC(CC(CC)CCCC)=C(C)S5)N=C4)S3)C=C2)C(/C1=C/C(S6)=C(CCCCCCCCCCC)C7=C6C(N8CC(CCCC)CCCCCC)=C(S7)C9=C8C(N(CC(CCCC)CCCCCC)C%10=C%11SC%12=C%10SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12CCCCCCCCCCC)=C%11C%15=NSN=C%159)=C(C#N)\C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=C(C)C=C(S3)C3=NC=C(N=C3)C3=CC(C)=C(C)S3)C1=C(C#N)C#N)C1=NSN=C21
29,PY5-BT,1.437,2021,https://doi.org/10.1021/acs.chemmater.1c02302,O=C1C2=C(C=C(C3=C(CCCCCC)C=C(C4=CC=C(C5=CC(CCCCCC)=C(C)S5)C6=NSN=C46)S3)C=C2)C(/C1=C/C(S7)=C(CCCCCCCCCCC)C8=C7C(N9CC(CCCC)CCCCCC)=C(S8)C%10=C9C(N(CC(CCCC)CCCCCC)C%11=C%12SC%13=C%11SC(/C=C%14C(C(C=CC(C)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13CCCCCCCCCCC)=C%12C%16=NSN=C%16%10)=C(C#N)\C#N,CN1C2=C(SC3=C2SC(\C=C2/C(=O)C4=C(C=C(C)C=C4)C2=C(C#N)C#N)=C3C)C2=C1C1=C(C3=C(N1C)C1=C(S3)C(C)=C(S1)\C=C1/C(=O)C3=C(C=C(C=C3)C3=C(C)C=C(S3)C3=CC=C(C4=CC(C)=C(C)S4)C4=NSN=C34)C1=C(C#N)C#N)C1=NSN=C21
