Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,HOMO(eV),LUMO(eV)
P3HT,1.93,CCCCCCc1cc(C)sc1C,Cc1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(C)s1,S10,-5.2,-3.2700000000000005
P3HST,1.82,CCCCCCSc1cc(C)sc1C,CSc1cc(sc1C)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(cc1SC)-c1sc(C)cc1SC,S123,-4.9,-3.08
POPT,1.76,CCCCCCCCc1ccc(-c2cc(C)sc2C)cc1,Cc1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(s1)-c1cc(c(C)s1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1)-c1ccccc1,S126,-5.34,-3.58
PT-C1,1.92,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(C)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(C)s1,S122,-5.15,-3.2300000000000004
PT-C2,1.89,CCCCC(CC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1,S122,-5.11,-3.2200000000000006
POPTT,1.93,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(C)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1,S126,-5.43,-3.5
C6-TT,1.9,CCCCCCc1cc(C)sc1-c1ccc(-c2sc(C)cc2CCCCCC)s1,Cc1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(C)cc1C,S124,-5.25,-3.35
PDHTT,1.96,CCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S380,-5.15,-3.1900000000000004
PDTPBT-C5,1.43,CCCCCC(CCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S359,-4.81,-3.38
PCV,2.3,C/C=C/c1ccc2c3ccc(C)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(C)ccc2c2ccc(\C=C\c3ccc4c(c3)n(-c3ccc(OC)cc3)c3cc(\C=C\c5ccc6c(c5)n(-c5ccc(OC)cc5)c5cc(\C=C\C)ccc65)ccc43)cc12,S16,-5.61,-3.3100000000000005
POPQT,1.97,CCCCCCCCc1ccc(-c2cc(C)sc2-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,Cc1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1-c1ccccc1)-c1ccc(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1-c1ccccc1,S126,-5.49,-3.5200000000000005
PDTPBT-C6,1.42,CCCCCCC(CCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S359,-4.86,-3.4400000000000004
O-PBDT,2.21,CCCCC(CC)COc1c2cc(C)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1,S119,-5.31,-3.0999999999999996
S-PBDT,2.07,CCCCC(CC)CSc1c2cc(C)sc2c(SCC(CC)CCCC)c2cc(C)sc12,CSc1c2cc(C)sc2c(SC)c2cc(sc12)-c1cc2c(SC)c3sc(cc3c(SC)c2s1)-c1cc2c(SC)c3sc(C)cc3c(SC)c2s1,S119,-5.41,-3.3400000000000003
P1-0,1.73,CCCCCCCCC(CCCCCC)COc1c(F)c(-c2ccc(C)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(OC)c(F)c(-c3ccc(s3)-c3c(OC)c(F)c(-c4ccc(C)s4)c4nsnc34)c3nsnc23)c1F,S405,-5.56,-3.8299999999999996
FEH,1.91,CCCCC(CC)Cc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CC(CC)CCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C,S372,-5.42,-3.51
HEH,1.96,CCCCC(CC)Cc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CC(CC)CCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S372,-5.27,-3.3099999999999996
P3HDTTT,1.9,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,Cc1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C,S121,-5.3,-3.4
PDOTT,1.97,CCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S380,-5.14,-3.17
PCVT,2.2,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(\C=C\C)ccc2c2ccc(\C=C\c3ccc(\C=C\c4ccc5c(c4)n(-c4ccc(OC)cc4)c4cc(\C=C\c6ccc(C)s6)ccc54)s3)cc12,S16,-5.52,-3.3199999999999994
PT-C3,1.91,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,COC(=O)c1cc(C)sc1-c1ccc(s1)-c1ccc(s1)-c1cc(C(=O)OC)c(s1)-c1ccc(s1)-c1ccc(C)s1,S122,-5.1,-3.1899999999999995
PBDT[2H]T,2.1,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(C)s1,S130,-5.32,-3.22
PBDT[2F]T,2.1,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(c(F)c1F)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(C)c(F)c1F,S130,-5.05,-2.9499999999999997
PGe1-C8,1.33,CCCCCCCC[Ge]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S311,-5.21,-3.88
poly(CR-TPA),1.8,CCCCCCCCc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c(cc(C)c5nsnc54)c4nsnc34)cc2)cc1,Cc1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)-c1cc2c3nsnc3c(C)cc2c2nsnc12,S114,-5.55,-3.75
PSBTBT,1.45,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S6,-5.05,-3.5999999999999996
PCPDTBT,1.43,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S3,-5.3,-3.87
PCPDTDFBT,1.51,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3c(F)c(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12,S345,-5.34,-3.83
PCPDTFBT,1.44,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3cc(F)c(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1C2(C)C)-c1cc(F)c(-c2cc3c(s2)-c2sc(cc2C3(C)C)-c2cc(F)c(C)c3nsnc23)c2nsnc12,S306,-5.15,-3.7100000000000004
PTTEHV,1.8,C/C=C/c1cc(C[C@H](CC)CCCC)c(-c2nc3sc(-c4sc(C)cc4CC(CC)CCCC)nc3s2)s1,C\C=C\c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(\C=C\c2cc(C)c(s2)-c2nc3sc(nc3s2)-c2sc(C)cc2C)cc1C,S153,-5.4,-3.6000000000000005
PGeBTBT,1.47,CCCCC(CC)C[Ge]1(C[C@@H](CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2c(s1)-c1sc(cc1[Ge]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Ge]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S309,-4.78,-3.3100000000000005
PBTTPD,1.77,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(-c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(s3)-c3ccc(s3)-c3sc(-c4ccc(s4)-c4ccc(C)s4)c4C(=O)N(C)C(=O)c34)c2C1=O,S301,-5.51,-3.7399999999999998
PDTPBT-C8,1.41,CCCCCCCCC(CCCCCCCC)n1c2cc(C)sc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1cc2n(C)c3cc(sc3c2s1)-c1ccc(-c2cc3n(C)c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S359,-4.89,-3.4799999999999995
pDSBT-BT,1.7,CCCC[Si]1(CCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc2[Si]1(CCCC)CCCC,Cc1cc2c(s1)-c1sc(cc1[Si](C)(C)[Si]2(C)C)-c1ccc(-c2cc3c(s2)-c2sc(cc2[Si](C)(C)[Si]3(C)C)-c2ccc(C)c3nsnc23)c2nsnc12,S375,-5.2,-3.5
PBTCTO,1.85,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C=C4)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C=CC(=O)c23)c2C=CC(=O)c12,S236,-5.4,-3.5500000000000003
PBTFDO,1.57,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(F)(F)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(F)(F)C(=O)c23)c2C(=O)C(F)(F)C(=O)c12,S236,-5.45,-3.88
PBDTT,2.13,CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S120,-5.44,-3.3100000000000005
PBDT-3MT,2.07,CCCCC(CC)COc1c2cc(-c3cc(C(=O)OC)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COC(=O)c1cc(sc1C)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(cc1C(=O)OC)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1,S128,-5.43,-3.36
PDTBTFV,1.79,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(/C(F)=C(/C)F)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)C(\F)=C(/F)c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)C(\F)=C(\C)F)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S381,-5.2,-3.41
PDTBTV,1.69,C/C=C/c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(C)s3)c3nsnc23)s1,COc1c(OC)c(-c2ccc(\C=C\c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(\C=C\C)s4)c4nsnc34)s2)c2nsnc2c1-c1ccc(C)s1,S381,-5.01,-3.32
PTVTPD,1.77,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(/C=C/c4ccc(C)s4)s3)c2C1=O,CN1C(=O)c2c(C)sc(-c3ccc(\C=C\c4ccc(s4)-c4sc(-c5ccc(\C=C\c6ccc(C)s6)s5)c5C(=O)N(C)C(=O)c45)s3)c2C1=O,S301,-5.48,-3.7100000000000004
PBTT-BT (P1),1.75,CCCCCCCCC(CCCCCCCC)c1cc2c3cc(-c4ccc(C)c5nsnc45)sc3c3sc(C)cc3c2s1,Cc1cc2c3cc(sc3c3sc(C)cc3c2s1)-c1ccc(-c2cc3c4sc(C)cc4c4cc(sc4c3s2)-c2ccc(C)c3nsnc23)c2nsnc12,S396,-5.09,-3.34
PNB-3,1.63,CCCCC(CC)COc1cc2c(cc1OCC(CC)CCCC)c1cc(-c3ccc(C)c4nsnc34)sc1c1sc(C)cc21,COc1cc2c3cc(C)sc3c3sc(cc3c2cc1OC)-c1ccc(-c2cc3c(s2)c2sc(cc2c2cc(OC)c(OC)cc32)-c2ccc(C)c3nsnc23)c2nsnc12,S399,-5.22,-3.59
PITFBT,1.8,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3c(F)cc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2-c3sc(cc3C(C)(C)c2c1)-c1c(F)cc(-c2ccc(s2)-c2ccc3-c4sc(cc4C(C)(C)c3c2)-c2c(F)cc(C)c3nsnc23)c2nsnc12,S143,-5.5,-3.7
poly(NTD-TPA),2.03,CCCCCCCCc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c5ccccc5c(C)cc4c4ccccc34)cc2)cc1,Cc1ccc(cc1)N(c1ccccc1)c1ccc(cc1)-c1cc2c3ccccc3c(cc2c2ccccc12)-c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)-c1cc2c3ccccc3c(C)cc2c2ccccc12,S114,-5.4,-3.3700000000000006
P2,1.96,CCCCC(CC)COc1c2cc(-c3cc(/C=C/c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc(\C=C\c2cccs2)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C\c2cccs2)c(C)s1,S127,-5.22,-3.26
PITBT,1.82,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2-c3sc(cc3C(C)(C)c2c1)-c1ccc(-c2ccc(s2)-c2ccc3-c4sc(cc4C(C)(C)c3c2)-c2ccc(C)c3nsnc23)c2nsnc12,S143,-5.48,-3.66
PBTPDO,1.75,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(=C(C)C)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3C(=O)C(=C(C)C)C(=O)c23)c2C(=O)C(=C(C)C)C(=O)c12,S236,-5.42,-3.67
P3,1.9,CCCCC(CC)COc1c2cc(-c3cc(/C=C(\C#N)c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc(\C=C(/C#N)c2cccs2)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc(\C=C(/C#N)c2cccs2)c(C)s1,S127,-5.37,-3.47
PTTIBT,1.68,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4nsnc34)cc21,Cc1ccc(s1)-c1ccc2c(c1)n(C)c1cc(sc21)-c1ccc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(sc32)-c2ccc(C)c3nsnc23)c2nsnc12,S500,-5.32,-3.6400000000000006
PDTPDFBT,1.38,Cc1cc2c(s1)-c1sc(-c3c(F)c(F)c(C)c4nsnc34)cc1OC2(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C,Cc1cc2c(s1)-c1sc(cc1OC2(C)C)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2OC3(C)C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12,S345,-5.26,-3.88
P4TBT,1.88,CCCCC(CC)Cc1ccc(-c2cc(-c3cc(-c4ccc(C[C@@H](CC)CCCC)s4)c(-c4ccc(C)c5nsnc45)s3)sc2C)s1,Cc1sc(cc1-c1cccs1)-c1cc(-c2cccs2)c(s1)-c1ccc(-c2sc(cc2-c2cccs2)-c2cc(-c3cccs3)c(s2)-c2ccc(C)c3nsnc23)c2nsnc12,S29,-5.52,-3.6399999999999997
PEBT,1.77,CCCCCCCCCCCCc1cc(C)sc1/C=C/c1sc(C)cc1CCCCCCCCCCCC,Cc1cc(C)c(\C=C\c2sc(cc2C)-c2cc(C)c(\C=C\c3sc(cc3C)-c3cc(C)c(\C=C\c4sc(C)cc4C)s3)s2)s1,S383,-5.3,-3.53
PFTTz,2.17,CCCCCCCCc1nc2c(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(C)ccc3-4)sc(C)c2s1,Cc1nc2c(sc(C)c2s1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1sc(-c2ccc3-c4ccc(C)cc4C(C)(C)c3c2)c2nc(C)sc12,S141,-5.58,-3.41
P(PTQD-Th),1.84,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(C)s2)cc1c1cc(C)sc13,CN1C(=O)c2nc3c4sc(C)cc4c4cc(sc4c3nc2C1=O)-c1ccc(s1)-c1cc2c3cc(sc3c3nc4C(=O)N(C)C(=O)c4nc3c2s1)-c1ccc(C)s1,S135,-5.73,-3.8900000000000006
PBDTS-FBT,1.73,CCCCC(CC)CSc1ccc(-c2c3cc(-c4c(F)c(F)c(C)c5nsnc45)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,CSc1ccc(s1)-c1c2cc(sc2c(-c2ccc(SC)s2)c2cc(C)sc12)-c1c(F)c(F)c(-c2cc3c(-c4ccc(SC)s4)c4sc(cc4c(-c4ccc(SC)s4)c3s2)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12,S498,-5.49,-3.7600000000000002
TQ1,1.7,CCCCCCCCOc1cccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,COc1cccc(c1)-c1nc2c(C)ccc(-c3ccc(s3)-c3ccc(-c4ccc(s4)-c4ccc(-c5ccc(C)s5)c5nc(-c6cccc(OC)c6)c(nc45)-c4cccc(OC)c4)c4nc(-c5cccc(OC)c5)c(nc34)-c3cccc(OC)c3)c2nc1-c1cccc(OC)c1,S352,-5.7,-4.0
P(T-QX),1.65,CCCCCCCCOc1ccc(-c2nc3c(C)ccc(-c4ccc(C)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,COc1ccc(cc1)-c1nc2c(C)ccc(-c3ccc(s3)-c3ccc(-c4ccc(s4)-c4ccc(-c5ccc(C)s5)c5nc(-c6ccc(OC)cc6)c(nc45)-c4ccc(OC)cc4)c4nc(-c5ccc(OC)cc5)c(nc34)-c3ccc(OC)cc3)c2nc1-c1ccc(OC)cc1,S241,-5.57,-3.9200000000000004
TQF2-1,1.8,CCCCCCCCOc1cccc(-c2nc3c(C)c(F)c(F)c(-c4ccc(C)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,COc1cccc(c1)-c1nc2c(C)c(F)c(F)c(-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(C)s5)c5nc(-c6cccc(OC)c6)c(nc45)-c4cccc(OC)c4)c4nc(-c5cccc(OC)c5)c(nc34)-c3cccc(OC)c3)c2nc1-c1cccc(OC)c1,S495,-6.18,-4.38
P1,1.37,CCCCCCC(CCCC)Cc1cc(-c2ccc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1ccc(-c2cc(OC)c(s2)-c2sc(cc2C)-c2ccc(C)c3nsnc23)c2nsnc12,S416,-4.94,-3.5700000000000003
PCz,2.0,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C)ccc2c2ccc(C)cc21,Cc1ccc2c(c1)n(C)c1cc(ccc21)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1ccc2c(c1)n(C)c1cc(C)ccc21,S15,-5.6,-3.5999999999999996
P3,1.46,CCCCCCC(CCCC)Cc1cc(-c2c(F)c(F)c(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(OC)c(s2)-c2sc(cc2C)-c2c(F)c(F)c(C)c3nsnc23)c2nsnc12,S416,-5.2,-3.74
P2,1.37,CCCCCCC(CCCC)Cc1cc(-c2c(F)cc(C)c3nsnc23)sc1-c1sc(C)cc1OCC(CCC)CCCCC,COc1cc(C)sc1-c1sc(cc1C)-c1c(F)cc(-c2cc(OC)c(s2)-c2sc(cc2C)-c2c(F)cc(C)c3nsnc23)c2nsnc12,S416,-5.13,-3.76
PCTTz,2.11,CCCCCCCCc1nc2c(-c3ccc4c5ccc(C)cc5n(C(CCCCCC)CCCCCC)c4c3)sc(C)c2s1,Cc1nc2c(sc(C)c2s1)-c1ccc2c(c1)n(C)c1cc(ccc21)-c1sc(-c2ccc3c(c2)n(C)c2cc(C)ccc32)c2nc(C)sc12,S141,-5.46,-3.35
PDDTT,1.99,CCCCCCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCCCCCC,Cc1ccc(s1)-c1ccc(s1)-c1sc(c(C)c1C)-c1ccc(s1)-c1ccc(s1)-c1sc(C)c(C)c1C,S380,-5.17,-3.1799999999999997
F12,1.95,CCCCCCCCCCCCc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CCCCCCCCCCCC,Cc1cc(F)c(s1)-c1sc(cc1F)-c1sc(c(C)c1C)-c1cc(F)c(s1)-c1sc(cc1F)-c1sc(C)c(C)c1C,S372,-5.4,-3.45
PBDT-DTBTz,1.97,CCCCCCCCC(CCCCCCCC)n1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5cc6sc(C)cc6cc5s4)s3)c2n1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3cc4sc(cc4cc3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4cc5sc(C)cc5cc4s3)c3nn(C)nc23)c2nn(C)nc12,S213,-5.26,-3.29
P3,2.14,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3sc(C)cc3/C=C/c3ccc(C=C(C#N)C#N)s3)cc21,Cc1cc(\C=C\c2ccc(C=C(C#N)C#N)s2)c(s1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1cc(\C=C\c2ccc(C=C(C#N)C#N)s2)c(s1)-c1ccc2-c3ccc(C)cc3C(C)(C)c2c1,S367,-5.51,-3.3699999999999997
