Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
FEH,S372,5.2,4.94,0.87,9.82,0.61,32.8,14.0 ,2.34 ,536,5.42,3.51,1.91,CC1=C(CC(CC)CCCC)C(CC(CCCC)CC)=C(C2=CC(F)=C(C3=C(F)C=C(C)S3)S2)S1,CCCCC(CC)Cc1c(C)sc(-c2cc(F)c(-c3sc(C)cc3F)s2)c1CC(CC)CCCC,35,77,536.8630000000009,3
HEH,S372,1.39,1.18,0.8,4.04,0.43,20.8,12.0 ,1.73 ,500,5.27,3.31,1.96,CC1=C(CC(CC)CCCC)C(CC(CCCC)CC)=C(C2=CC=C(C3=CC=C(C)S3)S2)S1,CCCCC(CC)Cc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CC(CC)CCCC,33,77,500.8829999999994,3
P3HDTTT,S121,3.4,3.4,0.82,6.33,0.66,18.9,10.5 ,1.80 ,500,5.3,3.4,1.9,CC1=CC(CC(CCCCCCCC)CCCCCC)=C(C2=CC=C(C3=CC=C(C)S3)S2)S1,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,33,77,500.88299999999936,3
PDOTT,S380,4.23,4.03,0.754,7.96,0.67,24.0,15.0 ,1.60 ,500,5.14,3.17,1.97,CC1=C(CCCCCCCC)C(CCCCCCCC)=C(C2=CC=C(C3=CC=C(C)S3)S2)S1,CCCCCCCCc1c(C)sc(-c2ccc(-c3ccc(C)s3)s2)c1CCCCCCCC,33,77,500.8829999999994,3
PCVT,S16,0.4,0.4,0.7,1.076,0.445,5.7,4.1 ,1.40 ,533,5.52,2.92,2.2,C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C)S5)=C3)=C4C=C1,C/C=C/c1ccc2c3ccc(/C=C/c4ccc(C)s4)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,39,78,533.7810000000009,5
PT-C3,S122,3.25,3.25,0.77,7.22,0.584,113.4,69.4 ,1.63 ,544,5.1,2.98,1.91,CC1=CC(C(OCC(CCCCCCCC)CCCCCC)=O)=C(C2=CC=C(C3=CC=C(C)S3)S2)S1,CCCCCCCCC(CCCCCC)COC(=O)c1cc(C)sc1-c1ccc(-c2ccc(C)s2)s1,36,80,544.8920000000013,3
PBDT[2H]T,S130,2.9,2.8,0.8,6.3,0.58,33.2,15.5 ,2.10 ,556,5.32,3.24,2.1,CC1=CC=C(S1)C(S2)=CC3=C2C(OCC(CCCC)CC)=C(C=C(C)S4)C4=C3OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3ccc(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,37,81,556.903000000002,4
PBDT[2F]T,S130,7.0,6.8,0.9,10.7,0.72,25.8,12.6 ,2.00 ,592,5.05,2.95,2.1,CC1=C(F)C(F)=C(S1)C(S2)=CC3=C2C(OCC(CCCC)CC)=C(C=C(C)S4)C4=C3OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3sc(C)c(F)c3F)sc2c(OCC(CC)CCCC)c2cc(C)sc12,39,81,592.8830000000019,4
PGe1-C8,S311,1.5,1.5,0.53,7.8,0.36,16.9,8.9 ,1.90 ,626,5.21,3.85,1.33,CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5[Ge]2(CCCCCCCC)CCCCCCCC)S1,CCCCCCCC[Ge]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3ccc(C)c4nsnc34)cc21,38,82,625.5290000000018,4
poly(CR-TPA),S114,2.15,2.15,0.79,6.87,0.4,15.6,9.8 ,1.60 ,611,5.55,2.6,1.8,CC1=CC=C(N(C2=CC=C(C3=CC(C4=NSN=C4C(C)=C5)=C5C6=NSN=C63)C=C2)C7=CC=C(CCCCCCCC)C=C7)C=C1,CCCCCCCCc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c(cc(C)c5nsnc54)c4nsnc34)cc2)cc1,45,82,627.8830000000014,7
