Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
BDF(2EH/C10),S279,6.3,5.9,0.94,11.2,0.6,36.1,13.8 ,2.60 ,733,5.41,3.44,1.97,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCCCC)C4=O)=O)=C(C)S3)O5)C5=C2OCC(CC)CCCC)O1,CCCCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)c2C1=O,52,115,734.0560000000025,4
P2c,S232,3.04,3.01,0.76,8.46,0.47,180.6,43.0 ,4.20 ,787,5.69,3.64,1.57,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C=C(C(N(CC(CC)CCCC)C5=O)=O)C5=C4)=C(C)S3)S6)C6=C2OCC(CC)CCCC)S1,CCCCC(CC)COc1c2cc(-c3sc(C)c4cc5c(cc34)C(=O)N(CC(CC)CCCC)C5=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,54,115,788.1980000000023,5
PC-DTBT,S20,3.05,3.05,0.8,7.66,0.5,24.8,16.5 ,1.50 ,787,5.48,3.46,1.72,CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc21,55,116,788.2490000000024,7
PCz-CPDTO (P3),S202,0.13,0.13,0.74,0.43,0.35,87.2,24.6 ,3.54 ,749,5.79,3.04,2.32,CC1=C(C(SC(C(CCCCCCC)=O)=C2)=C2C3=O)C3=C(C4=CC(N(C(CCCCCCCC)CCCCCCCC)C5=C6C=CC(C)=C5)=C6C=C4)S1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3sc(C)c4c3C(=O)c3cc(C(=O)CCCCCCC)sc3-4)cc21,53,116,750.1710000000024,5
PBTTT-C14,S1,2.34,2.34,0.53,9.37,0.48,46.2,22.0 ,2.10 ,724,5.1,3.1,1.88,CC1=CC(CCCCCCCCCCCCCC)=C(C2=CC3=C(S2)C=C(C4=C(CCCCCCCCCCCCCC)C=C(C)S4)S3)S1,CCCCCCCCCCCCCCc1cc(C)sc1-c1cc2sc(-c3sc(C)cc3CCCCCCCCCCCCCC)cc2s1,48,116,725.2960000000027,4
PBDTNTDO-C3,S387,2.21,2.21,0.81,4.93,0.552,53.4,21.9 ,2.40 ,798,5.27,3.39,1.79,CC1=CC2=C(OCC(CCCC)CC)C3=C(C=C(C4=C5C(C(C(C=C(CCCCCCCC)C=C6)=C6C5=O)=O)=C(C)S4)S3)C(OCC(CC)CCCC)=C2S1,CCCCCCCCc1ccc2c(c1)C(=O)c1c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c1C2=O,55,117,799.2210000000024,5
P1,S471,6.56,6.56,0.86,11.92,0.64,39.2,13.5 ,2.90 ,917,5.44,3.84,1.5,CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC(C(C=C(C)S5)=C5C6=NC(C(N(CC(CCCCCCCC)CCCCCCCCCC)C7=O)=O)=C7N=C68)=C8S4)S3)C9=NSN=C29)S1,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2nc3c(nc2C1=O)c1sc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s2)cc1c1cc(C)sc13,62,117,918.3580000000018,8
PBDFNTDO,S214,4.71,4.71,0.87,9.14,0.592,18.3,10.7 ,1.71 ,766,5.33,3.4,1.65,CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(C(C=CC(CCCCCCCC)=C5)=C5C4=O)=O)=C(C)S3)O6)C6=C2OCC(CC)CCCC)O1,CCCCCCCCc1ccc2c(c1)C(=O)c1c(-c3cc4c(OCC(CC)CCCC)c5oc(C)cc5c(OCC(CC)CCCC)c4o3)sc(C)c1C2=O,55,117,767.0850000000025,5
P3,S459,1.28,1.28,0.95,2.57,0.36,12.4,8.7 ,1.43 ,879,5.41,3.08,1.93,CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC=C(C(F)(F)F)C=C6)C=C4)S3)C7=NON=C27)S1,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc(N(c4ccc(C)cc4)c4ccc(C(F)(F)F)cc4)cc3)s2)c2nonc2c1-c1ccc(C)s1,62,118,880.1550000000022,7
PBDTNTDO-C2,S387,1.01,1.01,0.71,4.21,0.34,17.2,3.9 ,4.30 ,814,5.23,3.33,1.8,CC1=CC2=C(OCC(CCCC)CC)C3=C(C=C(C4=C5C(C(C(C=C(OCCCCCCCC)C=C6)=C6C5=O)=O)=C(C)S4)S3)C(OCC(CC)CCCC)=C2S1,CCCCCCCCOc1ccc2c(c1)C(=O)c1c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c1C2=O,56,118,815.2200000000023,5
P3,S35,3.15,3.06,0.76,8.12,0.5,300.8,64.0 ,4.70 ,749,5.26,3.59,1.67,CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=CC(C(CCCCCCCC)(CCCCCCCC)C4=C5SC(C)=C4)=C5S3)S1,CCCCCCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3C4(CCCCCCCC)CCCCCCCC)c2C1=O,51,118,750.2370000000026,3
DTS-Ch,S95,1.44,1.44,0.95,5.83,0.26,13.3,8.3 ,1.60 ,764,5.4,3.72,1.68,CC1=CC2=C(C(SC(C3=C4C(C(C(CCCCCC)(CCCCCC)C4=O)=O)=C(C)S3)=C5)=C5[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1,CCCCCCC1(CCCCCC)C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,51,119,765.3240000000025,3
PBDFTT-CF-T,S277,6.26,6.26,0.78,13.04,0.616,17.0,4.7 ,3.60 ,856,5.21,3.2,1.49,CC1=CC2=C(C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)O6)C6=C2C7=CC=C(CC(CCCC)CC)S7)O1,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)C(CC)CCCC)sc45)oc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)oc23)s1,58,119,857.3010000000022,7
PBDTTT-C-T,S187,7.59,7.59,0.74,17.48,0.587,64.0,20.0 ,3.20 ,870,5.11,3.25,1.58,O=C([C@@H](CC)CCCC)C1=CC2=C(C)SC(C3=CC4=C(C5=CC=C(CC(CCCC)CC)S5)C(SC(C)=C6)=C6C(C7=CC=C(CC(CC)CCCC)S7)=C4S3)=C2S1,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5cc(C(=O)[C@@H](CC)CCCC)sc45)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,57,119,871.4470000000022,7
PBT8PT,S236,6.78,6.78,0.88,12.37,0.62,60.0,23.0 ,2.60 ,813,5.36,3.51,1.85,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(N(C5=CC=C(CCCCCCCC)C=C5)C4=O)=O)=C(C)S3)S6)C6=C2OCC(CCCC)CC,CCCCCCCCc1ccc(N2C(=O)c3c(C)sc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)c3C2=O)cc1,56,119,814.2360000000024,5
PTzBT-HD,S84,0.8,0.8,0.96,2.3,0.37,16.0,8.7 ,1.84 ,754,5.3,3.5,1.8,CC1=CC(C(CCCCCCCC)CCCCCC)=C(C2=NC(SC(C3=C(C(CCCCCCCC)CCCCCC)C=C(C)S3)=N4)=C4S2)S1,CCCCCCCCC(CCCCCC)c1cc(C)sc1-c1nc2sc(-c3sc(C)cc3C(CCCCCC)CCCCCCCC)nc2s1,50,120,755.3260000000026,4
DTS-Chy,S95,1.36,1.36,0.85,3.91,0.41,10.7,6.3 ,1.70 ,776,5.27,3.7,1.57,CC1=CC2=C(C(SC(C3=C4C(C(/C(C4=O)=C(CCCCCC)/CCCCCC)=O)=C(C)S3)=C5)=C5[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1,CCCCCCC(CCCCCC)=C1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c2C1=O,52,120,777.3350000000024,3
PBDTTT-H,S415,9.38,9.21,0.8,17.37,0.675,181.5,73.5 ,2.47 ,846,5.1,3.42,1.68,CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C4C(C(F)=C(C(OCC(CC)CCCC)=O)S4)=C(C)S3)S5)C5=C2C6=CC=CC=C6,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(C)c4c(F)c(C(=O)OCC(CC)CCCC)sc34)sc2c(-c2ccccc2)c2cc(C)sc12,57,120,847.3060000000023,6
CPDT-co-TPADCN,S368,1.14,1.14,0.64,4.45,0.4,22.9,9.4 ,2.44 ,857,5.08,3.38,1.7,CC1=CC2=C(C(SC(C3=CC=C(N(C4=CC=C(C)C=C4)C5=CC=C(/C=C\C6=CC=C(/C=C(C#N)/C#N)S6)C=C5)C=C3)=C7)=C7C2(CC(CC)CCCC)CC(CC)CCCC)S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(N(c4ccc(C)cc4)c4ccc(/C=C\c5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21,61,120,858.2990000000019,6
TPO(CO)(2EH/C7),S226,6.7,6.7,1.05,10.6,0.6,74.7,20.6 ,3.60 ,883,5.41,3.62,1.79,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(N(C(CCCCCCC)=O)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7,CCCCCCCC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,59,120,884.3770000000021,6
PBDT(T)TPD,S160,6.5,6.1,1.0,11.1,0.58,51.4,16.4 ,3.10 ,869,5.01,2.76,1.88,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)S5)=C6C(SC(C)=C6)=C4C7=CC=C(C[C@H](CCCC)CC)S7)=C21)=O,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(C[C@@H](CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,58,121,870.3940000000023,6
P2,S391,3.58,3.58,0.68,9.94,0.528,60.0,29.4 ,2.04 ,965,5.73,3.88,1.85,CC1=CC2=C(C3=CC=C(CC(CC)CCCC)[Se]3)C(SC(C4=C(C(N(CC(CC)CCCC)C5=O)=O)C5=C(C)S4)=C6)=C6C(C7=CC=C(CC(CC)CCCC)[Se]7)=C2S1,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CC(CC)CCCC)C5=O)sc3c(-c3ccc(CC(CC)CCCC)[se]3)c3cc(C)sc23)[se]1,58,121,964.1800000000023,6
PBDTT-O-TT-CF,S422,8.68,8.68,0.78,16.5,0.68,34.6,19.0 ,1.82 ,920,5.31,3.33,1.52,CC(S1)=CC2=C1C(C3=CC=C(OCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(OCC(CCCC)CC)S7,CCCCC(CC)COc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)C(CC)CCCC)sc45)sc3c(-c3ccc(OCC(CC)CCCC)s3)c3cc(C)sc23)s1,60,121,921.435000000002,7
P4,S459,1.05,1.05,1.0,1.87,0.38,10.7,7.6 ,1.41 ,947,5.46,3.09,1.94,CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC(C(F)(F)F)=CC(C(F)(F)F)=C6)C=C4)S3)C7=NON=C27)S1,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc(N(c4ccc(C)cc4)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)s2)c2nonc2c1-c1ccc(C)s1,66,121,948.1520000000022,7
TPD(2EH/C8),S226,6.5,6.5,1.0,11.1,0.58,51.4,16.4 ,3.10 ,869,5.29,3.41,1.88,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,58,121,870.3940000000023,6
PVB2,S461,2.05,2.05,1.09,5.33,0.35,51.9,28.5 ,1.82 ,869,5.64,3.54,2.1,CC1=CC=C(C2=C3C(SC(CCCCCCCC)=C3)=C(C4=CC=C(C5=C6C(C(N(CC(CC)CCCC)C6=O)=O)=C(C)S5)S4)C7=C2SC(CCCCCCCC)=C7)S1,CCCCCCCCc1cc2c(-c3ccc(-c4sc(C)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)c3sc(CCCCCCCC)cc3c(-c3ccc(C)s3)c2s1,58,121,870.3940000000022,6
CPDT-co-TPATCN,S368,0.22,0.22,0.58,1.26,0.32,11.5,6.9 ,1.66 ,882,5.06,3.72,1.34,CC1=CC2=C(C(SC(C3=CC=C(N(C4=CC=C(C)C=C4)C5=CC=C(/C=C\C6=CC=C(/C(C#N)=C(C#N)/C#N)S6)C=C5)C=C3)=C7)=C7C2(CC(CC)CCCC)CC(CC)CCCC)S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)sc2-c2sc(-c3ccc(N(c4ccc(C)cc4)c4ccc(/C=C\c5ccc(C(C#N)=C(C#N)C#N)s5)cc4)cc3)cc21,63,121,883.3090000000018,6
PTIPS-BDT-TT (P2),S199,3.16,3.16,0.78,8.38,0.48,41.8,19.0 ,2.20 ,842,5.61,3.94,1.67,CC1=CC2=C(C(C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C=C(C3=C4C(C=C(C(C(CC)CCCC)=O)S4)=C(C)S3)S5)C5=C2C#C[Si](C(C)C)(C(C)C)C(C)C)S1,CCCCC(CC)C(=O)c1cc2c(C)sc(-c3cc4c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5sc(C)cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c4s3)c2s1,55,121,843.4950000000024,5
PBDT-TPD (P3),S225,4.8,4.8,0.93,10.0,0.51,35.9,16.1 ,2.23 ,793,5.6,3.82,1.84,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC,CCCCCCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O,54,121,794.2460000000026,4
PBDTT-S-TT-CF,S422,9.58,9.58,0.89,15.1,0.71,51.8,27.0 ,1.92 ,952,5.44,3.31,1.56,CC(S1)=CC2=C1C(C3=CC=C(SCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(C(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7,CCCCC(CC)CSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)C(CC)CCCC)sc45)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,60,121,953.571000000002,7
PBDT(F)TPD,S160,3.0,2.7,0.9,7.8,0.42,34.8,14.5 ,2.40 ,837,4.85,2.76,1.78,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)O5)=C6C(SC(C)=C6)=C4C7=CC=C(C[C@H](CCCC)CC)O7)=C21)=O,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(C[C@@H](CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)c2C1=O,58,121,838.2580000000023,6
PBDT(S)TPD,S160,4.7,4.3,0.98,8.7,0.48,40.1,12.7 ,3.20 ,965,4.98,2.76,1.85,O=C1N(CCCCCCCC)C(C2=C(C)SC(C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)[Se]5)=C6C(SC(C)=C6)=C4C7=CC=C(C[C@H](CCCC)CC)[Se]7)=C21)=O,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(C[C@@H](CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)c2C1=O,58,121,964.1800000000021,6
PC,S473,2.26,2.26,0.861,6.914,0.38,18.1,8.2 ,2.20 ,852,5.71,3.93,1.77,CC1=CC2=C(C(C3=CC=C(CC(CCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C)C5=NSN=C54)S6)C6=C2C7=CC=C(CC(CCCCCC)CCCC)S7)S1,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4ccc(C)c5nsnc45)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1,57,121,853.4110000000022,7
PCzTh-TVDT,S384,1.3,1.3,0.96,4.67,0.291,57.1,15.9 ,3.59 ,833,5.59,3.65,1.94,CC1=CC2=C(C(C=CC(C3=CC(/C=C/C4=CC=C(/C=C5C(N(CC)C(N(CC)C/5=O)=S)=O)S4)=C(C)S3)=C6)=C6N2C(CCCCCCCC)CCCCCCCC)C=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3cc(/C=C/c4ccc(C=C5C(=O)N(CC)C(=S)N(CC)C5=O)s4)c(C)s3)cc21,58,121,834.2740000000025,5
TP3,S20,1.02,1.02,0.56,4.41,0.41,10.6,6.6 ,1.60 ,815,5.24,3.45,1.57,CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C)C(C)=N6)=C(C7=CC=C(C)S7)S5)S4)=C2)=C3C=C1,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(C)c(C)nc45)s3)cc21,57,122,816.3030000000024,7
PBTTDPP,S397,0.8,0.78,0.67,2.79,0.43,19.0,11.5 ,1.65 ,1020,4.96,3.69,1.27,CC1=CC(C2=C3SC(CCCCCCCCCCCCCCCC)=C2)=C(S1)C4=C3C=C(C5=C6C(C(N(CCCCCCCCCCCC)C6=O)=O)=C(C)S5)S4,CCCCCCCCCCCCCCCCc1cc2c3cc(C)sc3c3sc(-c4sc(C)c5c4C(=O)N(CCCCCCCCCCCC)C5=O)cc3c2s1,55,122,818.3370000000024,5
TP2,S20,0.89,0.89,0.64,4.07,0.34,11.7,5.8 ,2.00 ,868,5.27,3.53,1.55,CC1=CC=C(C2=CC=C(C3=CC=C(C4=C(N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N7)C7=C(C8=CC=C(C)S8)S4)S3)C=C2C9(CC(CC)CCCC)CC(CC)CCCC)C9=C1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21,62,122,869.3220000000019,8
PTBDTDTBT,S74,1.9,1.9,0.68,6.69,0.42,32.6,19.2 ,1.70 ,960,5.29,3.67,1.62,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCC)CC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CC(CCCCCC)CC)S9,CCCCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3ccc(CC(CC)CCCCCC)s3)c3cc(C)sc23)s1,63,123,961.5570000000018,9
DTS-T6,S95,2.7,2.7,0.98,6.01,0.46,27.9,19.1 ,1.46 ,832,5.21,3.49,1.72,CC1=CC2=C(C(SC(C3=C4C(C(C5=C(CCCCCC)SC(CCCCCC)=C5C4=O)=O)=C(C)S3)=C6)=C6[Si]2(CC(CC)CCCC)C[C@@H](CC)CCCC)S1,CCCCCCc1sc(CCCCCC)c2c1C(=O)c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)c1C2=O,55,123,833.4240000000023,4
PBDT-TPD,S498,2.14,2.14,0.93,5.23,0.416,10.3,4.6 ,2.23 ,933,5.51,3.34,1.88,CC1=CC2=C(C(C3=CC=C(SCC(CCCC)CC)S3)=C(C=C(C4=C5C(C(N(CC(CC)CCCC)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7)S1,CCCCC(CC)CSc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CC(CC)CCCC)C5=O)sc3c(-c3ccc(SCC(CC)CCCC)s3)c3cc(C)sc23)s1,60,123,934.5280000000021,6
PBDTTT-EFS,S400,8.78,8.78,0.807,16.57,0.656,160.8,69.0 ,2.33 ,1014,5.29,3.71,1.58,CC1=C2C(SC(C(OCC(CC)CCCC)=O)=C2F)=C(C3=CC4=C(C5=CC=C(CC(CCCC)CC)[Se]5)C6=C(C=C(C)S6)C(C7=CC=C(CC(CC)CCCC)[Se]7)=C4S3)S1,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)sc(C)c2c1F,60,123,1013.2490000000021,7
PBDT-TPD (P5),S225,0.95,0.95,0.76,2.9,0.43,12.5,8.3 ,1.50 ,901,5.49,3.7,1.84,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=C5C(C(N(CC(CC)CCCC)C5=O)=O)=C(C6=CC=C(C)S6)S4)S3)S7)C7=C2OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,60,123,902.3920000000023,6
PEBTBTTBT,S383,1.04,1.04,0.6,4.41,0.4,5.7,3.9 ,1.47 ,854,4.95,3.39,1.57,CC1=CC(CCCCCCCCCCCC)=C(/C=C/C2=C(CCCCCCCCCCCC)C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NSN=C46)S3)S2)S1,CCCCCCCCCCCCc1cc(C)sc1/C=C/c1sc(-c2ccc(-c3ccc(-c4ccc(C)s4)c4nsnc34)s2)cc1CCCCCCCCCCCC,57,123,855.4270000000023,6
PTBDTffDTBT,S74,4.8,4.8,0.86,12.17,0.46,34.2,18.0 ,1.90 ,996,5.46,3.72,1.74,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CC(CCCCCC)CC)S9,CCCCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3ccc(CC(CC)CCCCCC)s3)c3cc(C)sc23)s1,65,123,997.5370000000017,9
PPDT5,S136,2.57,2.57,0.75,8.47,0.405,30.5,12.7 ,2.40 ,819,5.39,2.87,1.82,CC1=CC(N(CC(CCCCCC)CCCC)C(C2=C3SC(C4=CC5=C(C(SC(C)=C6)=C6[Si]5(CCCCCCCC)CCCCCCCC)S4)=C2)=O)=C3S1,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3cc4c(=O)n(CC(CCCC)CCCCCC)c5cc(C)sc5c4s3)cc21,54,123,820.4290000000025,5
P1,S232,2.74,2.7,0.87,6.69,0.46,52.8,24.0 ,2.20 ,834,5.59,3.48,1.6,CC1=CC2=C(C(OCC(CCCCCC)CCCC)=C(C=C(C3=C4C(C=C(C(OC)=O)C(C(OC)=O)=C4)=C(C)S3)S5)C5=C2OCC(CCCC)CCCCCC)S1,CCCCCCC(CCCC)COc1c2cc(-c3sc(C)c4cc(C(=O)OC)c(C(=O)OC)cc34)sc2c(OCC(CCCC)CCCCCC)c2cc(C)sc12,57,123,835.2510000000024,5
DTS-T6,S378,2.7,2.55,0.98,6.01,0.46,27.9,19.1 ,1.46 ,832,5.33,3.39,1.72,CC1=CC([Si](CC(CCCC)CC)(CC(CCCC)CC)C2=C3SC(C4=C5C(C(C6=C(CCCCCC)SC(CCCCCC)=C6C5=O)=O)=C(C)S4)=C2)=C3S1,CCCCCCc1sc(CCCCCC)c2c1C(=O)c1c(C)sc(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)c1C2=O,55,123,833.4240000000023,4
PTB6,S48,2.26,2.26,0.62,7.74,0.47,25.0,16.7 ,1.50 ,824,5.01,3.17,1.61,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C=C(C(OCC(CCCCCC)CCCC)=O)S4)=C(C)S3)S5)C5=C2OCC(CCCC)CC,CCCCCCC(CCCC)COC(=O)c1cc2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2s1,55,123,825.3250000000025,5
PDTP-DTDPP(Bu),S27,2.71,2.71,0.38,14.87,0.48,38.6,18.9 ,2.04 ,855,4.9,3.63,1.13,O=C1N(CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(N(C(C[C@@H](CCCC)CC)CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CCCC)C3=O,CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(CCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCC)s3)cc21,58,123,856.3460000000023,5
