,RMSE,R2,r,MAE
HGBR,0.116,0.673,0.823,0.08
LGBM,0.116,0.673,0.823,0.08
GBR,0.128,0.602,0.795,0.094
XGB,0.111,0.701,0.84,0.075
Adaboost,0.16,0.381,0.641,0.123
RF,0.12,0.649,0.815,0.082
