,RMSE,R2,r,MAE
HGBR,0.128,0.601,0.778,0.088
LGBM,0.128,0.597,0.775,0.088
GBR,0.139,0.532,0.739,0.1
XGB,0.125,0.617,0.788,0.085
Adaboost,0.166,0.334,0.596,0.129
RF,0.132,0.574,0.765,0.09
