,RMSE,R2,r,MAE
HGBR,0.114,0.679,0.828,0.077
LGBM,0.114,0.678,0.828,0.077
GBR,0.127,0.612,0.797,0.091
XGB,0.11,0.707,0.846,0.073
Adaboost,0.155,0.416,0.669,0.119
RF,0.12,0.646,0.814,0.083
