,RMSE,R2,r,MAE
HGBR,0.137,0.541,0.738,0.095
LGBM,0.137,0.54,0.737,0.095
GBR,0.145,0.49,0.709,0.105
XGB,0.134,0.565,0.753,0.092
Adaboost,0.172,0.282,0.547,0.136
RF,0.141,0.515,0.724,0.097
