,RMSE,R2,r,MAE
HGBR,0.119,0.657,0.814,0.079
LGBM,0.118,0.658,0.815,0.08
GBR,0.129,0.596,0.786,0.093
XGB,0.112,0.695,0.838,0.075
Adaboost,0.158,0.392,0.652,0.122
RF,0.124,0.625,0.801,0.085
