,RMSE,R2,r,MAE
HGBR,0.113,0.691,0.834,0.077
LGBM,0.113,0.691,0.834,0.077
GBR,0.126,0.618,0.804,0.092
XGB,0.109,0.71,0.845,0.075
Adaboost,0.155,0.418,0.668,0.118
RF,0.118,0.66,0.82,0.08
