,RMSE,R2,r,MAE
HGBR,0.1,0.754,0.871,0.068
LGBM,0.1,0.752,0.87,0.068
GBR,0.104,0.736,0.862,0.076
XGB,0.103,0.739,0.862,0.069
Adaboost,0.129,0.6,0.78,0.099
RF,0.105,0.733,0.859,0.072
