,RMSE,R2,r,MAE
HGBR,0.097,0.77,0.881,0.065
LGBM,0.097,0.768,0.88,0.065
GBR,0.1,0.757,0.875,0.073
XGB,0.095,0.777,0.884,0.063
Adaboost,0.125,0.621,0.794,0.096
RF,0.101,0.751,0.87,0.069
