,RMSE,R2,r,MAE
HGBR,0.111,0.699,0.839,0.078
LGBM,0.111,0.697,0.839,0.079
GBR,0.112,0.695,0.837,0.082
XGB,0.113,0.69,0.836,0.078
Adaboost,0.136,0.551,0.748,0.108
RF,0.111,0.7,0.839,0.077
