,RMSE,R2,r,MAE
HGBR,0.099,0.762,0.875,0.067
LGBM,0.099,0.764,0.876,0.067
GBR,0.104,0.74,0.864,0.076
XGB,0.097,0.773,0.881,0.065
Adaboost,0.125,0.623,0.795,0.096
RF,0.102,0.748,0.867,0.07
