,RMSE,R2,r,MAE
HGBR,0.101,0.747,0.867,0.069
LGBM,0.101,0.747,0.868,0.069
GBR,0.106,0.728,0.857,0.077
XGB,0.104,0.738,0.861,0.07
Adaboost,0.129,0.599,0.781,0.1
RF,0.107,0.723,0.853,0.074
