,RMSE,R2,r,MAE
HGBR,0.096,0.774,0.882,0.065
LGBM,0.096,0.773,0.882,0.066
GBR,0.102,0.749,0.869,0.074
XGB,0.095,0.781,0.885,0.063
Adaboost,0.125,0.624,0.796,0.097
RF,0.101,0.753,0.87,0.069
