idx,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,FpDensityMorgan1,BalabanJ,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA6,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA4,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,VSA_EState2,VSA_EState3,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,fr_C_O,fr_aniline,fr_bicyclic,fr_halogen,fr_imide,fr_ketone_Topliss,fr_oxazole,fr_pyridine
13,15.7622793,0.181074455,-0.188447283,0.016495614,1279.98,0.315217391,0.983647978,0,0,0,23.62871892,0,28.9779682,270.9772614,0,19.17814874,109.5643727,0,9.799819462,11.83581209,13.08951281,10.44059869,0,0,0,22.67357176,46.51805119,25.68328649,74.76,0,0,19.17814874,35.46453101,35.34331878,110.4604169,230.5157274,67.59052674,9.620985883,14.31053989,0.595238095,0,2,2,6,2,6,4,0,4,0,2,0,0,0
14,15.46849868,0.17858331,-0.219068073,0.02473738,1027.494,0.405405405,1.26962117,0,0,0,23.62871892,0,28.9779682,143.5666601,0,19.17814874,109.5643727,0,9.799819462,0,0,10.44059869,0,0,0,22.67357176,45.51222004,13.8474744,74.76,0,9.589074368,9.589074368,35.71240058,35.09544921,123.3020601,100.3845547,65.90336343,9.898654895,17.40355507,0.484848485,0,2,2,6,2,6,4,0,4,0,2,0,0,0
15,16.20396955,0.201193991,-0.219356801,0.016320019,1424.194,0.323529412,1.137704796,9.473725908,0,0,23.62871892,0,28.9779682,285.8305669,22.61360376,28.65187464,109.5643727,0,9.799819462,23.67162418,26.30327674,21.93962235,9.473725908,0,11.49902367,22.67357176,59.73181512,37.51909858,93.22,0,0,19.17814874,35.46453101,71.16534323,182.7258534,158.9768661,68.64209294,9.054586537,24.59042041,0.630434783,0,2,2,6,2,8,4,0,4,0,2,0,0,0
16,16.42896165,0.186559624,-0.193275746,0.016477252,1556.45,0.290909091,1.040752841,0,0,0,23.62871892,0,28.9779682,298.6722102,0,19.17814874,132.2379444,0,9.799819462,23.67162418,13.08951281,31.32179606,0,0,0,45.34714351,46.51805119,37.51909858,74.76,0,0,19.17814874,35.46453101,47.17913087,123.3020601,261.1512191,75.06741349,9.733660604,23.7695085,0.58,0,2,2,6,4,8,4,0,4,0,2,0,0,0
17,16.29521199,0.179247816,-0.21355832,0.016828271,1360.072,0.333333333,1.135414281,0,0,0,23.62871892,0,28.9779682,221.6223507,0,19.17814874,132.2379444,0,9.799819462,11.83581209,0,31.32179606,0,0,0,45.34714351,45.51222004,25.68328649,74.76,0,0,19.17814874,35.71240058,34.08961806,200.3519196,107.0515002,74.55037793,9.6516867,22.66066901,0.511627907,0,2,2,6,4,8,4,0,4,0,2,0,0,0
18,16.40529301,0.132082909,-0.220439921,0.016319868,1560.394,0.309090909,1.040752841,9.473725908,10.12641507,0,23.62871892,0,28.9779682,295.6624954,12.20793278,28.65187464,132.2379444,0,9.799819462,11.83581209,13.08951281,41.44821113,9.473725908,0,10.12641507,45.34714351,58.72598397,25.68328649,93.22,0,0,19.17814874,47.67246379,46.11576721,181.021395,180.1899133,71.64149975,11.16061364,23.25038865,0.571428571,0,2,2,6,4,10,4,0,4,0,2,0,0,0
19,16.43833048,0.186063741,-0.225079625,0.016318679,1576.39,0.307017544,1.034048162,9.473725908,0,0,23.62871892,0,28.9779682,310.0960352,13.21376393,28.65187464,109.5643727,0,9.799819462,23.67162418,26.30327674,44.19342832,9.473725908,0,11.49902367,22.67357176,59.73181512,37.51909858,93.22,0,0,19.17814874,35.46453101,71.16534323,175.6310503,188.3254751,69.43449357,9.226721978,24.72893469,0.557692308,0,2,2,8,2,8,4,0,4,0,2,0,0,0
20,15.49837783,0.166514324,-0.224013584,0.024743543,1003.425,0.386666667,1.251680284,0,0,0,23.62871892,0,28.9779682,192.3035901,0,19.17814874,66.71851263,0,9.799819462,0,0,22.25380597,0,0,0,0,45.51222004,13.8474744,74.76,0,9.589074368,9.589074368,41.12739105,45.86789764,100.3742727,104.8671169,63.51881252,7.05666831,17.38450813,0.47826087,1,2,3,7,0,4,4,0,5,0,2,0,0,0
21,15.90738662,0.184115494,-0.193152533,0.016495425,1330.04,0.302083333,0.950019056,0,0,0,23.62871892,0,28.9779682,295.2427296,0,19.17814874,120.3368211,0,9.799819462,11.83581209,13.08951281,10.44059869,0,0,0,22.67357176,46.51805119,25.68328649,74.76,0,0,19.17814874,35.46453101,35.34331878,115.8466411,235.9019516,68.03102395,12.06155532,14.320124,0.568181818,0,2,2,7,2,6,4,0,7,0,2,0,0,0
22,15.14273573,0.228422518,-0.255629707,0.030827338,889.219,0.430769231,1.252285699,0,0,0,23.62871892,0,28.9779682,129.0102765,11.72818735,19.17814874,89.48010141,0,18.54689942,11.83581209,13.08951281,11.12690298,0,0,0,11.72818735,55.26513115,25.68328649,100.54,0,14.38361155,4.794537184,35.46453101,46.11576721,142.6544122,47.2112933,62.62796278,6.684833777,13.74194637,0.464285714,0,2,2,6,1,7,4,0,3,0,2,0,0,0
23,15.53979158,0.206741945,-0.233949134,0.016644732,1113.651,0.345679012,1.097025524,0,0,0,23.62871892,0,28.9779682,231.7434225,11.72818735,19.17814874,89.48010141,0,18.54689942,11.83581209,13.08951281,11.12690298,0,0,0,11.72818735,55.26513115,25.68328649,100.54,0,0,19.17814874,35.46453101,46.11576721,116.9711257,165.8279063,64.33146775,6.811801473,14.04290972,0.583333333,0,2,2,6,1,7,4,0,3,0,2,0,0,0
24,15.78209269,0.204719859,-0.223134482,0.016465918,1277.905,0.340659341,0.992741108,0,0,0,23.62871892,0,28.9779682,231.7434225,11.72818735,19.17814874,112.1536732,0,18.54689942,11.83581209,13.08951281,31.32179606,0,0,0,34.4017591,55.26513115,25.68328649,100.54,0,0,19.17814874,35.46453101,46.11576721,126.7254201,175.5822007,69.57375821,6.925221804,14.13899655,0.525,0,2,2,6,3,9,4,0,3,0,2,0,0,0
25,16.71109966,0.033148835,-0.270809922,0.016211387,1750.722,0.246031746,1.033129182,9.134199296,0,0,34.74725271,0,38.56704257,375.7220696,21.80584986,19.17814874,131.3702225,0,18.93401876,23.67162418,13.08951281,10.44059869,11.11853379,0,0,22.67357176,55.65225049,37.51909858,118.76,0,0,28.7672231,52.50097085,70.50941028,231.0485323,218.3079352,102.0802331,9.833918628,24.40984642,0.649122807,0,2,2,6,4,10,4,0,8,0,2,0,0,2
26,20.07731586,0.021749645,-0.724284892,0.016211387,1786.702,0.265625,1.053582515,9.134199296,11.63444168,0,34.74725271,0,38.56704257,375.7220696,41.97813813,27.95897883,131.3702225,0,18.93401876,23.67162418,13.08951281,10.44059869,11.11853379,8.780830095,0,22.67357176,55.65225049,49.15354027,118.76,17.19370858,0,37.5480532,104.3858732,70.87020205,211.768501,202.4565772,101.2975057,6.150716418,22.78921062,0.649122807,0,2,2,6,4,10,4,0,8,2,2,0,0,2
27,16.70368905,0.08612941,-0.310677883,0.012332571,1464.172,0.259259259,1.09638085,9.799819462,0,0,35.44307838,0,38.56704257,310.0960352,22.52098161,28.7672231,101.0538537,0,9.799819462,23.67162418,35.97884509,11.12690298,9.799819462,11.37477255,0,0,71.42192346,37.51909858,115.38,0,0,28.7672231,53.19679651,76.26939513,192.647616,151.0578952,101.7664337,6.303736733,23.76960902,0.591836735,0,4,4,7,0,6,6,2,4,0,2,0,0,0
28,17.0193722,0.074903828,-0.267337607,0.012328971,1800.82,0.204545455,1.078736851,9.799819462,0,0,35.44307838,0,38.56704257,451.3541109,22.52098161,28.7672231,101.0538537,0,9.799819462,23.67162418,35.97884509,11.12690298,9.799819462,11.37477255,0,0,71.42192346,37.51909858,115.38,0,0,28.7672231,53.19679651,76.26939513,211.9100809,276.0953298,105.5329742,6.536156568,24.41344894,0.672131148,0,4,4,7,0,6,6,2,4,0,2,0,0,0
