Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,bdt,fluorene,cpdt,tdt,others
PT-MIM,1.57,CCCCCCCCC(CCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCC)CCCCCCCC)c3cc(-c4cc(C)c(-c5ccc(-c6sc(C)cc6C)s5)s4)ccc32)c2ccc(C)cc21,CN1C(=O)\C(=C2\C(=O)N(C)c3cc(ccc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2ccc3\C(C(=O)N(C)c3c2)=C2/C(=O)N(C)c3cc(ccc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(C)cc2C)c2ccc(C)cc12,S268,0,0,0,0,1
PBDTTBT,1.75,CCCCCCCCc1cc(CCCCCCCC)c(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3sc(CCCCCCCC)cc3CCCCCCCC)c3cc(C)sc23)s1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S66,1,0,0,0,0
PBDTDTBT-o,1.68,CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCC,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S52,1,0,0,0,0
PBDTBSe,1.66,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6n[se]nc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3n[se]nc23)c2n[se]nc12,S221,1,0,0,0,0
PBDT_TEH-DT_EH-BTff,1.76,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S75,1,0,0,0,0
PBDT-BT,2.1,CCCCCCCCCCCCc1cc(-c2cc(CCCCCCCCCCCC)c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)sc1C,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(cc1C)-c1cc(C)c(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1sc(cc1C)-c1cc(C)c(C)s1,S129,1,0,0,0,0
PBDTFBZS,1.81,CCCCCCC(CCCC)CSc1c2cc(C)sc2c(SC[C@@H](CCCC)CCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc12,CSc1c2cc(C)sc2c(SC)c2cc(sc12)-c1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(SC)c4sc(cc4c(SC)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(C)s3)c3nn(C)nc23)c2nn(C)nc12,S162,1,0,0,0,0
PTT-DPP (P2),1.58,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C(c3cc4sc(C)cc4s3)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1cc2sc(C)cc2s1)c1cc2sc(cc2s1)-c1cc2sc(cc2s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1cc2sc(C)cc2s1,S353,0,0,0,0,1
PBDTFBZO,1.83,CCCCCCC(CCCC)CSc1c2cc(C)sc2c(SC[C@@H](CCCC)CCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc(C)o5)c5nn(CC(CCCC)CCCCCC)nc45)o3)sc12,CSc1c2cc(C)sc2c(SC)c2cc(sc12)-c1ccc(o1)-c1ccc(-c2ccc(o2)-c2cc3c(SC)c4sc(cc4c(SC)c3s2)-c2ccc(o2)-c2ccc(-c3ccc(C)o3)c3nn(C)nc23)c2nn(C)nc12,S162,1,0,0,0,0
PBDTF-DPPF,1.47,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)o7)=C6C(=O)N5CC(CC)CCCC)o4)sc3c(-c3ccc(CC(CC)CCCC)o3)c3cc(C)sc23)o1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)o1)c1ccc(o1)-c1cc2c(-c3ccco3)c3sc(cc3c(-c3ccco3)c2s1)-c1ccc(o1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(o1)-c1cc2c(-c3ccco3)c3sc(C)cc3c(-c3ccco3)c2s1,S259,1,0,0,0,0
